name,duration_ms,explicit,popularity,artists,album_name,key,loudness,mode,speechiness,instrumentalness,liveness,tempo,time_signature,n_beats,genre
Bliss,331665,False,0,Farzad Golpayegani,Eight,11,-4.69,0.0,0.0457,0.895,0.325,138.001,4.0,752.0,iranian
What Is Home Without Love?,215923,False,19,Doc Watson;David Grisman,Doc & Dawg,7,-14.836,1.0,0.033,0.000224,0.106,143.915,3.0,518.0,bluegrass
Pump Up The Volume - Original Mix,227386,False,6,The Prophet,The Hardcore Archive Part 3 (1997),0,-6.468,1.0,0.0831,0.798,0.101,110.961,4.0,415.0,happy
これが運命なら,346440,False,21,Ryuji Imaichi,LDH PERFECT YEAR 2020 SPECIAL SHOWCASE RYUJI IMAICHI “ZONE OF GOLD” SET LIST,2,-5.548,1.0,0.0402,0.0,0.0703,71.94,4.0,406.0,j-dance
Dem No Good,215542,False,24,Lt. Stitchie;Fantan Mojah,Masterclass,8,-4.757,0.0,0.127,0.0,0.0594,154.707,4.0,555.0,j-dance
A Farra Me Chama,156550,False,27,Victor Meira;Anderson & Vei da Pisadinha,A Farra Me Chama,0,-5.902,0.0,0.0364,0.0125,0.131,160.011,4.0,412.0,forro
It's You - JJ Flores Remix Extended,382187,False,0,York;Sin Plomo;Janet Taylor;JJ Flores,"Swanky Club House, Vol. 1",8,-5.23,1.0,0.0472,0.31,0.0891,126.984,4.0,806.0,techno
Sense,384120,False,36,Digitonal,The Ambient Zone Just Music Cafe Vol 4,5,-14.44,1.0,0.0266,0.728,0.112,84.991,4.0,539.0,idm
Put A Record On - Shorter Edit,165117,False,4,Matt Sassari,Put A Record On (Shorter Edit),5,-5.719,1.0,0.0494,0.135,0.106,124.995,4.0,340.0,techno
RUSH,193714,True,3,SE,RUSH,9,-11.577,0.0,0.12,1.75e-05,0.111,140.025,4.0,448.0,idm
Respeita Januário,150565,False,45,Luiz Gonzaga,A Raíz do Nordeste,8,-6.049,1.0,0.156,0.0,0.246,84.604,4.0,212.0,forro
Five Little Monkeys - Jumping On the Bed,99909,False,44,Zouzounia,The Wheels on the Bus & More Nursery Rhymes,5,-7.178,1.0,0.0429,0.0123,0.0835,132.056,4.0,209.0,disney
隨風而逝,200400,False,24,音樂磁場,音樂磁場1-國語經典名曲,0,-14.806,1.0,0.0426,1.47e-06,0.129,76.898,4.0,249.0,mandopop
Pero a tu lado,195226,False,64,Los Secretos,Dos Caras Distintas,6,-4.841,1.0,0.105,6.5e-05,0.0756,79.105,4.0,249.0,spanish
Devotion - DJ Spen & Thommy Davis Remix,220644,False,6,Ten City;DJ Spen;Thommy Davis,Judgement,6,-5.651,1.0,0.0363,0.0,0.232,123.995,4.0,455.0,chicago-house
Sinking Stone,282586,False,24,Alison Krauss & Union Station,Paper Airplane,11,-10.866,1.0,0.0296,0.0,0.277,159.562,4.0,735.0,bluegrass
be that hope,217411,False,8,hope mona,there's always hope,5,-7.641,1.0,0.0454,0.881,0.134,85.0,4.0,306.0,study
Salve Principessa Aurora,116760,False,22,Cast of Sleeping Beauty,La Bella Addormentata nel Bosco (Colonna Sonora Originale),4,-13.682,1.0,0.0799,0.357,0.0947,114.831,3.0,221.0,disney
But You Need It,149250,False,6,Joi Casette,But You Need It,7,-7.915,1.0,0.0688,0.727,0.157,79.879,4.0,198.0,study
Trust The Hours,371604,False,46,Giorgia Angiuli,Trust The Hours,1,-10.68,1.0,0.0487,0.905,0.107,124.016,4.0,767.0,techno
"Gilbert, mon chat!",84800,False,31,Caillou,Les chansons de Caillou,0,-11.774,1.0,0.091,2.87e-05,0.0594,94.998,4.0,129.0,disney
Sunrise - 2021 Mix,364800,False,0,Klubfiller;Rob Tissera;Steve Hill,"Full Length Cardio Workout, Vol. 8",6,-3.368,0.0,0.0462,0.151,0.145,150.009,4.0,905.0,happy
BASKET BOX,245117,False,22,BiS,LOOKiE,0,-0.538,1.0,0.0548,0.0503,0.112,100.015,4.0,403.0,j-idol
Terminal Odyssey,356343,False,3,Imperialist,Zenith,4,-6.358,1.0,0.0576,0.845,0.185,114.988,3.0,633.0,black-metal
Myn Alde Puch,193371,False,41,De Doelleazen;Marcel Smit,Skijt Oan De Rest,4,-3.816,1.0,0.0472,9.43e-06,0.338,175.037,4.0,558.0,happy
There Are Worse Things I Could Do (Glee Cast Version) (feat. Kate Hudson),141560,False,48,Glee Cast;Kate Hudson,Glee: The Music presents Glease,7,-5.84,1.0,0.0332,0.0,0.123,99.854,3.0,229.0,techno
SUNSET BEACH,313880,False,23,Seiko Matsuda,Pineapple,3,-9.353,1.0,0.0255,1.19e-05,0.15,86.806,4.0,438.0,j-idol
愛笑的眼睛,251521,False,58,JJ Lin,她說,1,-7.114,1.0,0.0312,0.0,0.103,132.633,4.0,541.0,mandopop
What A Beautiful Name (Acoustic),254973,False,45,Hillsong Worship;Brooke Ligertwood,let there be light.,2,-10.804,1.0,0.0348,0.0,0.106,139.866,4.0,631.0,afrobeat
Picante,118773,False,30,Busy Signal,D.O.B.,6,-9.533,1.0,0.078,4.74e-05,0.0918,113.055,4.0,222.0,j-dance
No Other Name - Live,347960,False,44,Planetshakers,Endless Praise (Live),1,-5.096,1.0,0.0588,0.0,0.395,155.942,4.0,905.0,mandopop
Sonho Real - Ao Vivo,126354,False,40,Taty Girl,"Baú da Taty Girl, Pt. 1 (Ao Vivo)",3,-3.488,0.0,0.109,0.000339,0.312,114.954,4.0,241.0,forro
BPM170の君へ,233893,False,30,=LOVE,The 5th,7,-3.735,1.0,0.0505,0.0,0.362,160.0,4.0,613.0,j-idol
Fetish,186112,False,10,Selena Gomez;Gucci Mane,Concierto en la ducha,2,-4.424,1.0,0.0593,6.81e-06,0.062,123.006,4.0,375.0,breakbeat
O Vagabundo,156893,False,0,Zezo,Zezo (O Príncipe dos Teclados),10,-4.482,0.0,0.0295,2.88e-06,0.338,111.024,4.0,289.0,forro
Gimme Some More,348891,False,1,Technikore,Not over Yet (Weaver vs. Steve Hill Mix) / Gimme Some More,2,-3.261,1.0,0.089,0.86,0.276,171.989,4.0,988.0,happy
FRONTOP,241613,False,24,Banty Foot;NEO HERO,FRONTOP,1,-5.175,1.0,0.0816,0.0,0.0964,108.98,4.0,431.0,j-dance
Zuipen,160000,False,29,Lawineboys,Remmen Los,0,-5.832,1.0,0.035,0.0,0.299,121.97,4.0,319.0,happy
Blutgeil,258680,False,26,Eisregen,Krebskollektion,0,-5.546,1.0,0.0434,0.00317,0.326,142.817,4.0,590.0,black-metal
Serpent Saints,304626,False,20,Entombed,Serpent Saints - the Ten Amendments,2,-5.929,1.0,0.132,1.2e-06,0.109,150.888,4.0,713.0,black-metal
United We Belong,122556,False,43,"Frankly, We Hold",Open Skies,6,-14.319,1.0,0.15,0.93,0.103,176.243,4.0,352.0,study
Never Alone - Beats 'R' Us Mix,322840,False,18,2 Brothers On The 4th Floor,Dreams,1,-8.155,1.0,0.038,0.0988,0.156,128.843,4.0,686.0,happy
Berti Bums Birne,209012,False,23,Lorenz Büffel;Ikke Hüftgold,Berti Bums Birne,1,-1.913,1.0,0.0885,0.0,0.047,131.952,4.0,450.0,happy
S.R.V.,183333,False,44,Eric Johnson,Venus Isle,4,-12.32,1.0,0.0325,0.505,0.0892,130.542,4.0,389.0,bluegrass
First Aid,269426,False,23,Skinny Puppy,Cleanse Fold And Manipulate,8,-15.096,1.0,0.0379,0.00132,0.152,97.96,4.0,436.0,industrial
Eye over You,223866,False,21,Haujobb,Homes & Gardens 2.0,1,-9.576,1.0,0.0366,0.302,0.128,88.407,4.0,323.0,industrial
Return To Windy Mountain,210858,False,22,Sideline,Breaks to the Edge,9,-7.659,1.0,0.0316,1.07e-05,0.35,115.05,4.0,398.0,bluegrass
Saturday Night Worldcup Fieber,264440,False,17,Mouse On Mars,Iaora Tahiti,1,-10.917,1.0,0.0421,0.935,0.216,141.98,4.0,605.0,idm
To Infiinity,248680,False,0,Ocoeur,Connections,10,-12.752,1.0,0.0404,0.261,0.116,76.95,5.0,373.0,idm
"Taurvi, the Archdemon",398749,False,1,From The Vastland,Taurvi,1,-3.981,1.0,0.113,0.00436,0.176,119.919,4.0,946.0,iranian
Off Screen,265240,False,27,VNV Nation,Transnational,11,-9.025,0.0,0.0284,0.0025,0.239,130.019,4.0,557.0,industrial
Anyway,274297,False,17,Sharyn,In Full Bloom,11,-9.523,0.0,0.0479,3.66e-05,0.308,137.956,4.0,624.0,afrobeat
Return Of Forever - Camo & Krooked & Mefjus Remix,270697,False,46,High Contrast;Camo & Krooked;Mefjus,Return Of Forever (Camo & Krooked & Mefjus Remix),6,-3.554,1.0,0.0885,0.0772,0.453,171.972,4.0,774.0,industrial
