name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,genre
Disolución,433506,False,0,Dulce Liquido,Disolución,0.55,0.963,1,-4.074,1.0,0.0379,0.00475,0.254,0.351,0.491,131.024,4.0,939.0,industrial
Dream Machine - J-Boogie Mix,340509,False,9,Mark Farina;J-Boogie,Dream Machine Remixes,0.776,0.682,11,-7.593,1.0,0.05,0.0351,0.006,0.0833,0.471,109.945,4.0,623.0,chicago-house
Sidewalk Stars,253360,False,22,Yonder Mountain String Band,Yonder Mountain String Band,0.505,0.525,2,-11.293,1.0,0.0341,0.0428,0.0458,0.0877,0.192,138.831,4.0,583.0,bluegrass
The Gospel Truth I / Main Titles - Hercules,145640,False,63,Cheryl Freeman;LaChanze;Vaneese Thomas;Lillias White;Roz Ryan;Disney,Hercules (Original Motion Picture Soundtrack),0.5,0.565,11,-10.528,1.0,0.145,0.25,0.000147,0.145,0.466,158.072,4.0,365.0,disney
Shadows Over Transylvania,262466,False,23,Dark Funeral,In The Sign... (Re-issue + Bonus) [Deluxe Version],0.15,0.991,9,-7.704,0.0,0.117,2.91e-06,0.169,0.274,0.0352,103.041,4.0,424.0,black-metal
Canciones de Amor a Ti,198946,False,55,Rigoberta Bandini,La Emperatriz,0.681,0.756,0,-6.065,1.0,0.141,0.149,0.0176,0.102,0.676,144.878,4.0,478.0,spanish
The Sun Was In My Eyes: Part One,389653,False,20,Woods Of Ypres,Pursuit Of The Sun & Allure Of The Earth,0.341,0.905,1,-7.834,1.0,0.135,0.00142,0.0132,0.488,0.2,119.956,4.0,753.0,black-metal
Apretao - Original Mix,224383,False,1,Nick León,Rompe Discoteka,0.771,0.799,0,-9.393,1.0,0.0659,0.00569,0.873,0.0782,0.0912,100.009,4.0,368.0,techno
是你對不起我,194973,False,38,詹雅雯,詹雅雯 是你對不起我,0.633,0.446,3,-6.185,1.0,0.0305,0.226,0.0,0.0651,0.488,115.866,3.0,362.0,mandopop
Ducati,167800,False,0,Soleá Morente;Cariño,El Que Sabem (Original Motion Picture Soundtrack),0.705,0.84,10,-5.649,1.0,0.0528,0.0278,0.000301,0.0916,0.853,123.077,4.0,328.0,spanish
D.A.M.,225866,True,53,Fetty Wap,Fetty Wap (Deluxe),0.697,0.676,7,-3.51,0.0,0.0395,0.00752,0.0,0.0898,0.372,136.01,4.0,509.0,j-dance
Alô Ex Amor,192882,False,37,Humberto & Ronaldo,Alô Ex Amor,0.743,0.781,1,-3.174,1.0,0.12,0.673,0.0,0.0649,0.877,170.007,4.0,542.0,forro
Agua Salada,213434,False,60,Marc Seguí,Agua Salada,0.834,0.679,10,-4.803,0.0,0.0518,0.0626,0.0,0.106,0.578,139.843,4.0,491.0,spanish
Silenced,180760,True,29,Mudvayne,The End Of All Things To Come,0.645,0.986,1,-5.066,1.0,0.134,0.000151,0.244,0.071,0.32,111.108,4.0,334.0,industrial
Re-Bottled,305017,False,25,Korsakoff;The Viper,Korsakoff Pres. Pink Noise,0.475,0.881,6,-4.7,1.0,0.109,0.119,0.0239,0.157,0.139,164.965,4.0,831.0,happy
Damnations Jaw,300248,False,16,Kvaen;Mike Wead,The Great Below,0.205,0.89,11,-13.05,1.0,0.106,7.88e-06,3.49e-05,0.176,0.0376,174.985,4.0,845.0,black-metal
I Can't Let You Throw Yourself Away,125786,False,57,Randy Newman,Toy Story 4 (Original Motion Picture Soundtrack),0.642,0.742,5,-8.211,1.0,0.0401,0.439,0.000656,0.126,0.897,106.235,4.0,213.0,disney
Cama Baguncada (feat. Japinha Conde & Conde do Forró),167375,False,40,Unha Pintada;Japinha Conde;Conde do Forró,Ao Vivo em Sao Paulo,0.707,0.706,11,-3.507,0.0,0.0964,0.536,0.0,0.129,0.566,134.973,4.0,373.0,forro
Bitches,165693,True,56,Mindless Self Indulgence,Frankenstein Girls Will Seem Strangely Sexy,0.696,0.72,9,-6.804,1.0,0.0976,0.0263,0.0647,0.192,0.542,95.897,4.0,264.0,industrial
Tear Away,254200,False,66,Drowning Pool,Sinner,0.611,0.648,0,-4.579,1.0,0.0441,0.00055,0.0028,0.0846,0.457,132.983,4.0,554.0,industrial
Midnight Sun,85740,False,35,Nostalgique,Lofi Life,0.733,0.355,0,-11.854,1.0,0.0369,0.287,0.752,0.0895,0.216,80.972,4.0,114.0,study
Eu Vou Contar pro Cêis - Ao Vivo,230760,False,36,Humberto & Ronaldo;Gusttavo Lima;Jorge & Mateus,Eu Vou Conta Procêis (Ao Vivo),0.709,0.714,0,-9.004,1.0,0.0969,0.302,0.0,0.518,0.856,112.815,4.0,433.0,forro
As One - Original Mix,325039,False,3,DJ Skull,As One Ep,0.546,0.845,6,-10.976,1.0,0.0706,0.000449,0.945,0.103,0.157,127.058,4.0,749.0,chicago-house
Peere Borna,201000,False,1,Sabke Morde,PeeranSal,0.282,0.905,4,-4.631,1.0,0.0462,0.00158,0.599,0.387,0.282,143.991,3.0,554.0,iranian
時間の国のアリス,283960,False,23,Seiko Matsuda,SEIKO STORY〜80's HITS COLLECTION〜,0.727,0.702,10,-6.875,1.0,0.0326,0.247,0.00011,0.223,0.561,126.562,4.0,584.0,j-idol
Nattsudd,156642,False,16,Overklig,Nattsudd,0.673,0.18,5,-12.841,0.0,0.0581,0.352,0.898,0.107,0.186,69.979,4.0,176.0,study
Sheep Rotation,121943,False,10,Jobii,Sheep Rotation,0.735,0.354,8,-9.891,1.0,0.12,0.0709,0.863,0.0811,0.583,87.006,4.0,176.0,study
Levántate y Anda,334106,False,31,Avalanch,El Ángel Caído,0.407,0.943,6,-7.147,1.0,0.141,0.00555,5.79e-05,0.205,0.324,180.056,4.0,985.0,spanish
Un Poco Más,145303,False,40,Rafa Figueroa,Un Poco Más,0.685,0.27,4,-15.411,1.0,0.044,0.804,0.903,0.087,0.45,140.05,4.0,326.0,study
Goin' Up In Smoke,397200,False,6,Ten City,"THAT WAS THEN, THIS IS NOW",0.764,0.675,1,-7.785,1.0,0.0406,0.00761,2.12e-05,0.253,0.594,122.958,4.0,810.0,chicago-house
Play It Loud - 2021 Mix,399999,False,0,Klubfiller;Steve Hill;Technikal,"Full Length Cardio Workout, Vol. 6",0.631,0.918,11,-2.669,0.0,0.0585,0.000186,0.765,0.0404,0.458,149.972,4.0,993.0,happy
Leave You Far Behind,192640,False,46,Lunatic Calm,Metropol,0.524,0.974,11,-7.205,0.0,0.0919,7.45e-05,0.144,0.306,0.577,127.972,4.0,408.0,breakbeat
Bank Head,260085,False,0,Kingdom;Kelela,Vertical XL,0.712,0.788,9,-6.911,1.0,0.0773,0.115,0.0248,0.0856,0.604,134.978,4.0,575.0,techno
"OH NO,OH YES!",318306,False,51,Mariya Takeuchi,REQUEST (30th Anniversary Edition),0.729,0.741,10,-6.034,0.0,0.0345,0.491,0.00172,0.0554,0.96,147.319,4.0,762.0,j-idol
Sou Teu Deus,290481,False,51,Midian Lima,Sou Teu Deus,0.484,0.524,4,-7.341,1.0,0.0539,0.455,0.0,0.134,0.218,127.701,4.0,600.0,brazil
還鄉,227400,False,24,Jody Chiang,還鄉,0.577,0.476,5,-8.21,0.0,0.0293,0.543,0.0,0.0916,0.763,98.145,4.0,363.0,mandopop
我相信,247466,False,49,楊培安,午夜兩點半的我,0.668,0.768,0,-4.652,0.0,0.0266,0.0437,0.0,0.0981,0.542,112.04,4.0,453.0,mandopop
渚のCHERRY(チームA Ver.),227960,False,25,AKB48,Team A 2nd stage 「会いたかった」 〜studio recordings コレクション〜,0.575,0.964,7,-3.689,1.0,0.129,0.406,0.000472,0.391,0.785,149.979,3.0,554.0,j-idol
Eu Me Apaixonei Pela Morena,172356,False,46,Josué Bom de Faixa,O Bom de Faixa,0.67,0.896,8,-5.628,0.0,0.0312,0.815,0.000181,0.124,0.843,148.767,4.0,426.0,forro
The Gold Rush,166027,False,24,Punch Brothers,Hell on Church Street,0.427,0.237,2,-16.909,1.0,0.0356,0.913,0.601,0.122,0.235,96.201,3.0,261.0,bluegrass
寶貝(In The Night),161173,False,53,Deserts Chang,My Life Will...,0.755,0.274,0,-12.403,1.0,0.034,0.848,1.57e-06,0.131,0.535,110.064,4.0,280.0,mandopop
MYSTERIOUS,222480,False,44,QUEEN BEE,MYSTERIOUS,0.494,0.586,1,-6.142,0.0,0.0315,0.438,0.0,0.297,0.45,104.82,3.0,379.0,j-dance
Saiyyan - Lofi Flip,267834,False,54,Kailash Kher;VIBIE,Saiyyan (Lofi Flip),0.52,0.464,0,-8.963,1.0,0.124,0.961,0.855,0.183,0.132,179.978,4.0,798.0,indian
Used To Call Me Baby,214213,False,2,Split Lip Rayfield,Never Make It Home,0.469,0.783,7,-6.722,1.0,0.0348,0.298,0.000117,0.266,0.826,187.124,3.0,642.0,bluegrass
Tocame,157500,False,62,Sak Noel;Salvi;Franklin Dam,Tocame,0.865,0.607,2,-8.039,0.0,0.0535,0.217,0.879,0.0571,0.0869,127.998,4.0,325.0,chicago-house
Take Me Up (feat. Donna Blakely) - Lego's Mix [Mixed],197323,False,18,Ralphi Rosario;Donna Blakely;lego,Defected Radio Episode 064 (hosted by Sam Divine),0.905,0.932,5,-5.213,1.0,0.0489,0.0395,0.559,0.363,0.702,123.02,4.0,404.0,chicago-house
Work.Groove - Original Mix,332512,False,10,Mark Farina;Homero Espinosa,Work.Groove,0.811,0.456,7,-9.76,1.0,0.0749,0.075,0.884,0.0949,0.375,122.012,4.0,671.0,chicago-house
The Game - Radio Edit,193103,False,21,Korsakoff;Re-Style,The Game (Radio Edit),0.46,0.941,5,-5.1,1.0,0.0996,0.135,0.149,0.124,0.404,174.052,4.0,552.0,happy
In the Minds of Evil,233048,False,48,Deicide,In the Minds of Evil,0.535,0.889,10,-5.547,1.0,0.0533,9.92e-05,0.41,0.329,0.327,97.493,4.0,378.0,black-metal
Dreams (Mix Cut) - Nicholson’s Cathedral Remix,173933,False,6,Quench;Nicholson,Live at Ultra Music Festival Miami 2018 (Highlights) [A State Of Trance Stage],0.43,0.885,1,-14.299,1.0,0.144,0.00022,0.0148,0.312,0.0385,138.049,4.0,397.0,idm
Traveling Again,126764,False,6,"Sarah, the Illstrumentalist",Celebrate You,0.691,0.404,0,-7.443,1.0,0.0447,0.105,0.928,0.103,0.731,78.396,4.0,163.0,study
Blow,236396,False,0,Suga7,"Simply Breaks & Beats, Vol. 05",0.816,0.823,11,-3.735,1.0,0.0452,0.000941,0.77,0.101,0.45,132.016,4.0,512.0,breakbeat
Los Peces En El Rio,241600,False,0,Traditional;Rolando Villazón;Slovak National Symphony Orchestra;Allan Wilson;James Hayto;Sam Vincent;Darran Muller,Weihnachten Klassik 2022,0.548,0.342,3,-11.74,1.0,0.0387,0.881,0.000111,0.113,0.305,95.866,4.0,377.0,sleep
Super Scooter Happy,354213,False,20,Kyary Pamyu Pamyu,KPP BEST,0.535,0.953,7,-2.8,1.0,0.0386,0.00803,0.0033,0.129,0.603,141.943,4.0,829.0,j-idol
風に吹かれても,221506,False,21,Keyakizaka46,永遠より長い一瞬 ~あの頃、確かに存在した私たち~(Complete Edition),0.705,0.906,4,-2.734,0.0,0.119,0.344,0.0,0.328,0.851,125.925,4.0,452.0,j-idol
命運的吉他,205200,False,25,阿吉仔,台語精選原版 4,0.493,0.429,0,-9.893,1.0,0.0426,0.342,0.0,0.154,0.641,112.282,3.0,374.0,mandopop
I'm Lonely - Kindervater Remix,195378,False,12,Scooter;Kindervater,The Fifth Chapter (SPY Version),0.45,0.943,8,-5.212,1.0,0.114,0.00954,0.136,0.121,0.323,143.018,4.0,459.0,happy
Intro - Wy Jouwe Gas,89062,False,34,De Doelleazen,Wy Jouwe Gas,0.614,0.967,11,-3.779,1.0,0.0451,0.024,0.000207,0.247,0.77,149.998,5.0,216.0,happy
The Farthest Star,292973,False,25,VNV Nation,Judgement,0.552,0.937,9,-6.738,0.0,0.0488,0.0232,0.00268,0.102,0.347,134.98,4.0,650.0,industrial
1 Militant,146468,True,16,Chronic Law,1 Militant,0.677,0.752,11,-6.639,1.0,0.154,0.222,0.0,0.0802,0.271,99.995,4.0,242.0,j-dance
Nada Nuevo bajo el Sol,205840,False,1,Víctor Manuel,Éxitos del Pop en Español de los Años 2000,0.64,0.703,9,-4.604,0.0,0.0662,0.573,0.0,0.103,0.811,159.953,4.0,540.0,spanish
Streets,376714,False,0,Subheim,No Land Called Home,0.223,0.549,6,-10.204,1.0,0.0358,0.208,0.902,0.113,0.0758,140.024,4.0,853.0,idm
Eu Queria Dizer Que Te Amo numa Canção - Ao Vivo,248266,False,0,Zezo,"Seresta, Vol. 14 (Ao Vivo)",0.881,0.726,1,-3.696,1.0,0.0288,0.641,5.68e-06,0.0701,0.71,116.006,4.0,480.0,forro
Sueño Erótico,242373,False,36,Los Amigos Invisibles,Commercial,0.683,0.823,9,-6.475,1.0,0.0559,0.138,0.067,0.176,0.837,120.03,4.0,485.0,afrobeat
マジスカロックンロール,221000,False,23,AKB48,神曲たち,0.51,0.996,8,-3.512,1.0,0.108,0.000287,0.00947,0.337,0.556,141.983,4.0,511.0,j-idol
突破口,255080,False,54,SUPER BEAVER,突破口 / 自慢になりたい,0.472,0.994,8,-1.786,1.0,0.114,0.0259,0.0,0.0535,0.262,103.512,4.0,414.0,j-idol
sea foam,139090,False,30,sound butler,sea foam,0.73,0.356,0,-10.137,1.0,0.0509,0.741,0.908,0.383,0.266,88.011,4.0,198.0,study
You'll Be In My Heart,98080,False,29,Marsa Sakamoto;Toshiko Fujita,My First Disney Original Soundtrack Best Japanese Version,0.266,0.144,9,-17.406,1.0,0.0369,0.851,0.0,0.114,0.227,90.513,4.0,139.0,disney
BazeFaze - SPLT SCND INTERLUDE RMX 11,64401,False,22,DJ Ruffneck;SPLT SCND,BazeFaze (SPLT SCND RMXS),0.41,0.92,11,-5.045,1.0,0.0648,0.0241,0.919,0.354,0.0846,150.005,4.0,160.0,happy
Yippie,231066,False,12,Mouse On Mars,Niun Niggung,0.747,0.751,10,-12.122,0.0,0.0839,0.151,0.86,0.0567,0.96,167.041,4.0,634.0,idm
Two Hearts,184831,False,16,Dougal;Technikore;JTS,Two Hearts,0.497,0.905,10,-2.313,1.0,0.115,0.000487,0.147,0.287,0.598,170.134,4.0,513.0,happy
My Gabber - Extended Mix,277935,True,8,Scooter;Jebroer,My Gabber,0.636,0.931,7,-7.619,0.0,0.0549,0.00138,0.000227,0.25,0.183,154.983,4.0,705.0,happy
She so Pretty,185546,False,21,Vybz Kartel;Birchill,She so Pretty,0.722,0.686,7,-7.145,1.0,0.118,0.284,0.0,0.236,0.429,90.27,4.0,278.0,j-dance
Te Quedó Grande la Yegua,231453,False,34,Natalia Jiménez,"México de Mi Corazón, Vol. 2",0.452,0.368,1,-5.736,1.0,0.036,0.51,0.0,0.117,0.553,147.415,4.0,558.0,spanish
えっと干支がーる,204000,False,28,夜光性アミューズ,えっと干支がーる,0.684,0.898,10,-4.965,1.0,0.0494,0.0174,0.0,0.323,0.808,100.021,4.0,324.0,j-idol
分手不分離,254040,False,34,Z.TAO,分手不分離,0.657,0.583,3,-5.177,1.0,0.0519,0.506,0.0,0.0987,0.181,123.999,4.0,514.0,mandopop
傷つける,347864,False,35,Creep Hyp,吹き零れる程のI、哀、愛,0.641,0.382,3,-7.272,1.0,0.0286,0.794,0.00508,0.0865,0.216,128.078,4.0,728.0,j-dance
兄弟,234920,False,25,阿吉仔,也罷,0.415,0.436,11,-8.57,1.0,0.0361,0.572,0.0,0.134,0.448,73.896,4.0,283.0,mandopop
Hijo de la luna,259146,False,69,Mecano,Entre el Cielo y el Suelo (Bonus Tracks Edition),0.45,0.527,1,-7.212,1.0,0.0341,0.695,8.31e-06,0.0685,0.569,179.474,3.0,764.0,spanish
Bundão Grandão,128618,False,19,Anderson & Vei da Pisadinha,Bundão Grandão,0.739,0.931,1,-3.295,1.0,0.0755,0.257,0.0325,0.297,0.752,173.939,4.0,367.0,forro
Amor de Motel,198765,False,45,Aviões do Forró,Aviões do Forró Vol. 2,0.562,0.919,1,-5.047,0.0,0.0816,0.6,0.0,0.157,0.744,185.989,4.0,615.0,forro
Eddie's Gang,345468,False,8,Fast Eddie,Eddie's Gang / Behind Eddie's Groove,0.885,0.919,11,-8.825,0.0,0.0469,0.00358,0.446,0.0456,0.944,127.996,4.0,736.0,chicago-house
Casino Boulevard - Ao Vivo,242653,False,47,Rosa de Saron;Pe. Fábio de Melo,Acústico e Ao Vivo 2/3,0.413,0.625,1,-4.745,1.0,0.0283,0.497,0.0,0.38,0.215,136.017,4.0,546.0,brazil
メロンソーダ,301676,False,26,Yume Miru Adolescence,メロンソーダ,0.425,0.951,8,-3.642,1.0,0.0732,0.00613,0.0,0.32,0.581,183.986,4.0,910.0,j-idol
明年今日,206117,False,57,Eason Chan,The Line-Up,0.67,0.397,8,-10.87,1.0,0.0417,0.71,0.0,0.11,0.214,123.969,4.0,413.0,mandopop
Little Miss Muffet - Original Mix,53640,False,19,Cameron's Bedtime Classics,Lullabies and Nursery Rhymes,0.467,0.185,6,-17.553,1.0,0.0551,0.963,0.924,0.103,0.51,148.721,3.0,119.0,disney
Segura Na Minha Mão,391895,False,48,Jefferson & Suellen,Segura Na Minha Mão,0.384,0.502,7,-6.905,1.0,0.0321,0.486,0.0,0.511,0.147,130.042,4.0,847.0,brazil
Rain Relaxation,180197,False,39,PIÑA PINK,Rain Relaxation,0.72,0.422,3,-14.467,1.0,0.0487,0.95,0.807,0.0751,0.0392,151.982,4.0,451.0,study
Horny,69400,False,0,The Black Dog,Music For Adverts (And Short Films),0.234,0.259,0,-12.813,1.0,0.0365,0.9,0.804,0.172,0.0353,76.802,4.0,89.0,idm
Every Day Is a Saturday,218571,False,43,Pronobozo,Hackwave,0.222,0.922,9,-3.883,0.0,0.0849,4.31e-05,0.894,0.358,0.395,140.102,4.0,539.0,breakbeat
Renge Parichehro Parizad (Darvish Khan),134666,False,0,Martin Shamoonpour,8 Bit,0.332,0.701,7,-6.735,1.0,0.0936,0.464,0.203,0.182,0.491,156.279,3.0,329.0,iranian
High Pianist,166519,False,0,Lomoplay,High Pianist,0.581,0.307,2,-10.415,1.0,0.0446,0.288,0.832,0.108,0.407,158.298,5.0,432.0,study
Overgrown,137910,False,54,Tenno,The Inner Light,0.493,0.312,8,-15.138,1.0,0.0386,0.742,0.925,0.115,0.153,134.063,4.0,293.0,sleep
fxxk your disco,249640,False,18,GANG PARADE,THE MUSIC AND THE GAME CREATES MAGIC,0.488,0.916,5,-2.438,0.0,0.0669,0.000212,0.0,0.334,0.8,137.963,4.0,568.0,j-idol
Sua Ingratidão,181408,False,47,Kara Veia,A Cara Metade das Vaquejadas,0.692,0.71,2,-3.78,1.0,0.0267,0.366,0.0,0.144,0.774,91.935,4.0,274.0,forro
frozen grapes,95853,False,41,vibe academy,frozen grapes,0.766,0.659,3,-11.221,1.0,0.0943,0.954,0.925,0.386,0.626,81.988,4.0,123.0,study
