name,duration_ms,explicit,popularity,artists,album_name,key,loudness,mode,speechiness,instrumentalness,liveness,tempo,time_signature,n_beats,genre
Git Cho House On (Children) - MD BlackBall Main Mixx,363933,False,8,Mike Dunn;MD X-Spress,Defected Presents House Masters: Mike Dunn,11,-5.21,1.0,0.0603,0.625,0.0826,128.003,4.0,769.0,chicago-house
This Is Our God,348226,False,41,Hillsong Worship;Reuben Morgan,This Is Our God (Live),4,-10.548,1.0,0.0295,0.297,0.444,159.955,4.0,928.0,iranian
Thithithara - From “Second Show”,209866,False,43,Avial,Matinee & Second Show (Original Motion Picture Soundtrack),1,-6.251,0.0,0.0316,0.149,0.097,109.977,4.0,380.0,indian
沙龍,275973,False,49,Eason Chan,H3M,4,-5.311,1.0,0.0265,0.0,0.136,142.081,4.0,643.0,mandopop
Contigo no cuento,194822,False,25,La Pegatina;LOUTA,Hacia Otra Parte,7,-3.902,1.0,0.0633,1.97e-06,0.125,115.054,4.0,370.0,spanish
渇いたkiss,314000,False,37,Mr.Children,It's a wonderful world,2,-7.399,1.0,0.0249,0.000238,0.12,89.868,4.0,464.0,j-dance
Take Me 2 Wonderland - Radio mix,212480,False,24,4 Tune Fairytales,Happy Rave Classics,0,-7.325,1.0,0.0384,0.341,0.181,178.085,4.0,619.0,happy
Teri Ore,339644,False,66,Pritam;Rahat Fateh Ali Khan;Shreya Ghoshal,Singh Is Kinng,2,-4.678,1.0,0.0948,0.0,0.253,83.354,4.0,463.0,indian
Farmers and Pharaohs,242736,False,22,Steep Canyon Rangers,Out in the Open,7,-10.82,1.0,0.033,0.000395,0.133,93.402,4.0,365.0,bluegrass
comin 4 ya,144163,False,33,Analog Sunset,comin 4 ya,3,-15.132,1.0,0.0684,0.914,0.1,143.454,4.0,345.0,study
Black Stacey,324080,True,24,Saul Williams,Saul Williams,9,-5.35,1.0,0.147,0.0,0.208,160.093,4.0,865.0,industrial
你要的愛(深夜版) - 電視劇「流星花園」插曲,261164,False,45,Penny Tai,你要的愛(深夜版) [電視劇「流星花園」插曲],5,-8.456,1.0,0.0322,1.3e-06,0.122,73.781,1.0,318.0,mandopop
妄想ガールフレンド,225346,False,22,NMB48,ヴァージニティー (通常盤Type-C),0,-1.755,1.0,0.046,6.95e-05,0.218,172.078,4.0,628.0,j-idol
ヨワネハキ,166966,False,64,MAISONdes;和ぬか;asmi,ヨワネハキ,7,-3.617,1.0,0.0291,8.28e-05,0.168,108.025,4.0,293.0,j-idol
Siempre Brilla El Sol,219066,False,56,Lori Meyers,En La Espiral,8,-5.172,0.0,0.0331,0.00358,0.106,171.939,4.0,621.0,spanish
是你對不起我,194973,False,38,詹雅雯,詹雅雯 是你對不起我,3,-6.185,1.0,0.0305,0.0,0.0651,115.866,3.0,362.0,mandopop
Traditional: Es wird scho glei dumpa,186920,False,0,Traditional;phil Blech Wien;Anton Mittermayr,Klassische Weihnachtsmusik,3,-18.029,1.0,0.0408,0.947,0.114,69.977,4.0,206.0,sleep
A Night Out,137691,False,11,Tiger Movie,A Night Out,10,-14.028,0.0,0.147,0.887,0.1,156.229,4.0,356.0,study
Rab Raakha,239956,False,42,The Yellow Diary,Rab Raakha,2,-6.496,1.0,0.0341,0.0569,0.112,119.964,4.0,476.0,indian
Hope Is on the Way,220000,False,2,Out of Nowhere,Hope Is on the Way,4,-4.628,0.0,0.0365,2.32e-06,0.117,100.03,4.0,360.0,iranian
Juaneco Y La Negra,297665,False,25,Thee Commons,Collecion De Oro,0,-3.107,1.0,0.0313,0.000233,0.19,192.492,4.0,955.0,afrobeat
All I Know - Rolling Out DJ Mix,260730,False,32,Matrix;Futurebound;Luke Bingham,All I Know,1,-2.564,1.0,0.0504,0.0336,0.073,174.017,4.0,751.0,industrial
Slow Song,253723,False,0,The Knocks;Dragonette,Mellow Electronic Pop,6,-3.251,1.0,0.0299,0.0003,0.144,123.014,4.0,515.0,chicago-house
You Can Be My Night - Original Mix,271542,False,11,Ed Solo;Deekline;Top Cat,"Jungle Cakes, Vol. 15",0,-1.793,1.0,0.0437,0.381,0.0558,174.994,4.0,787.0,breakbeat
Toma Conta De Mim,214893,False,51,Limão Com Mel,Toma Conta de Mim,2,-3.543,1.0,0.0497,0.0,0.255,90.17,4.0,316.0,forro
大開眼戒,250934,False,48,Eason Chan,The Easy Ride,4,-7.247,1.0,0.0273,0.0,0.117,115.326,4.0,475.0,mandopop
Funky Mountain Fogdown,150373,False,40,Leftover Salmon,Euphoria,2,-8.924,1.0,0.0447,0.847,0.0489,161.404,4.0,396.0,bluegrass
The Voodoo Babe,126666,False,64,Matt Sassari;CHRSTPHR,The Voodoo Babe,5,-5.577,1.0,0.0456,4.9e-06,0.345,125.975,4.0,258.0,techno
Onze Kroeg,165000,False,19,Lawineboys,Remmen Los,8,-4.161,1.0,0.0679,2.9e-06,0.324,146.047,4.0,392.0,happy
"Star Light, Star Bright",203276,False,55,Super Simple Songs;Finny the Shark,It's Time for Bed,0,-15.226,1.0,0.0324,0.0136,0.0645,131.474,4.0,424.0,disney
Por la boca vive el pez,269373,False,69,Fito y Fitipaldis,Por la boca vive el pez,0,-2.812,0.0,0.0303,1.01e-05,0.221,151.229,4.0,661.0,spanish
A Ti Meu Deus,200040,False,48,Padre Agnaldo José,Viola em Oração,2,-7.404,1.0,0.0259,0.0,0.352,104.0,3.0,338.0,brazil
Bones,295893,False,53,Oliver Koletzki;HVOB,I am OK,10,-7.089,1.0,0.0496,0.486,0.105,125.026,4.0,609.0,techno
The Box - 30 Something Years Later Mix,243423,False,12,Orbital,The Box (30 Something Years Later Mix),9,-5.474,0.0,0.0464,0.939,0.221,139.979,4.0,549.0,breakbeat
Lighter Days,342706,False,0,Angband,Rising from Apadana,10,-11.718,1.0,0.0403,0.000124,0.0514,89.981,4.0,495.0,iranian
富士山下,259133,False,61,Eason Chan,What's Going On...?,5,-10.48,1.0,0.0354,0.0,0.25,103.371,4.0,440.0,mandopop
Ponto Fraco,182277,False,8,Manim Vaqueiro,Não Acaba Não,2,-4.725,0.0,0.0421,0.0,0.0514,156.058,4.0,471.0,forro
Ignite - 2016 League Of Legends World Championship,195466,False,58,Zedd,Ignite (2016 League Of Legends World Championship),5,-4.442,0.0,0.0344,3.17e-05,0.0796,127.967,4.0,413.0,techno
Philly (Jamorphous),432173,False,13,Fluke,Progressive History XXX,7,-9.379,0.0,0.0374,0.668,0.357,117.781,4.0,841.0,breakbeat
Domination of Humanoids,224708,False,0,XERXES THE DARK,The Rise Of A.I.,1,-13.005,0.0,0.0683,0.00273,0.0802,143.984,4.0,474.0,iranian
Daisy Chains,254186,False,13,Audio Bullys,Higher Than the Eiffel,7,-6.1,1.0,0.0541,0.00499,0.0941,142.093,4.0,598.0,breakbeat
Control - Original Mix,387807,False,40,UMEK;Popof;Space 92,Control,2,-4.932,1.0,0.0548,0.853,0.255,129.982,4.0,835.0,techno
Thrashing Death,158293,True,22,Toxic Holocaust,Hell on Earth,9,-3.154,1.0,0.114,0.216,0.184,183.911,4.0,480.0,black-metal
Come to House,301880,False,25,Mr. Lee,Come to House,10,-13.84,0.0,0.0521,0.917,0.11,122.588,4.0,612.0,chicago-house
Zeynab,230000,False,1,Saint Abdullah,Zeynab,8,-10.637,1.0,0.0525,0.0,0.143,79.958,4.0,305.0,iranian
Just A Word,180013,False,43,Prateek Kuhad,The Way That Lovers Do,0,-9.415,1.0,0.0396,0.00454,0.104,77.225,4.0,231.0,indian
In for the Kill,187999,False,43,Dither,In for the Kill,6,-0.421,1.0,0.116,0.284,0.248,180.083,4.0,536.0,idm
Hay Secretos,208386,False,44,Canticuénticos,"¿Por Qué, Por Qué?",0,-11.993,1.0,0.0356,0.0,0.109,140.485,3.0,468.0,spanish
Dis moi poupée,202186,False,23,Therion,Les Fleurs du mal,11,-2.608,0.0,0.0425,0.0765,0.162,115.047,4.0,378.0,black-metal
Wisdom Seeker,223529,False,17,TJ Cream;Beloved Music,Wisdom Seeker,6,-6.816,1.0,0.156,0.0,0.109,96.029,4.0,351.0,afrobeat
The Hell You Made,197434,False,0,TarantisT,Distorted Brains,11,-5.446,1.0,0.0716,0.146,0.339,169.981,4.0,540.0,iranian
Not a Word at Breakfast,178065,False,5,Kyson,Lucky Notes,10,-14.187,1.0,0.0353,0.00908,0.0777,136.02,4.0,395.0,idm
"Herbei, o ihr Gläubigen",197400,False,0,Traditional;Friedrich Oberschelp;Christfried Bickenbach;Gerhard Bunk;Der Bielefelder Kinderchor,Alle Jahre wieder: Weihnachten mit Kindern,10,-17.44,1.0,0.0389,0.0,0.1,109.271,4.0,356.0,sleep
Petit pays,224533,False,27,Cesária Evora,The Very Best Of,4,-13.769,0.0,0.0354,0.0,0.282,77.895,4.0,289.0,iranian
Thankyou for Everything,242242,False,0,Kyson,Blackstone,10,-15.195,1.0,0.0503,0.91,0.108,106.963,4.0,419.0,idm
"Strange Things - From ""Toy Story"" / Japanese Version",196133,False,33,Diamond Yukai,Toy Story (Original Motion Picture Soundtrack/Japan Release Version),1,-11.688,1.0,0.0312,9.07e-05,0.356,135.505,4.0,438.0,disney
You're Toxic,371555,False,58,Deborah de Luca,You're Toxic,7,-10.402,1.0,0.057,0.867,0.11,134.995,4.0,831.0,techno
Old Father William,123913,False,0,Cameron's Bedtime Classics,Alice in Wonderland,0,-14.577,1.0,0.0365,0.899,0.135,137.634,4.0,275.0,disney
I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),157205,False,75,Oliver Heldens;Nile Rodgers;House Gospel Choir,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),10,-3.186,0.0,0.0498,7.11e-06,0.0838,126.03,4.0,327.0,chicago-house
Eaten,258133,True,50,Bloodbath,Nightmares Made Flesh,10,-4.213,1.0,0.0576,0.0,0.103,147.999,4.0,632.0,black-metal
Song Of The Sleeping Forest,259693,False,36,Susumu Yokota,Symbol,7,-10.176,1.0,0.046,0.867,0.175,106.595,4.0,453.0,idm
“16”,236146,False,36,BOØWY,SINGLES,4,-5.294,1.0,0.112,0.00176,0.214,99.475,4.0,382.0,j-dance
Fantasy World,206906,False,18,Charly Lownoise;Mental Theo,The Best Of Charly Lownoise & Mental Theo,0,-4.517,1.0,0.115,0.0,0.49,169.94,4.0,572.0,happy
"Flos Potentia (Sugar, Cotton, Tabacco)",334298,False,32,Ron Trent;Khruangbin,What Do the Stars Say to You,9,-6.105,1.0,0.032,0.929,0.139,123.031,4.0,683.0,chicago-house
Die letzte Vision,130640,False,19,Germaine Franco,Encanto (Deutscher Original Film-Soundtrack),2,-14.046,0.0,0.0369,0.897,0.128,108.149,1.0,230.0,disney
スリル,244930,False,26,BAND-MAID,愛と情熱のマタドール,7,-3.62,1.0,0.109,0.00351,0.174,128.106,4.0,509.0,j-idol
私は私,257906,False,17,ノースリーブス,ノースリーブス,8,-4.061,1.0,0.0282,2.36e-05,0.275,81.983,4.0,346.0,j-idol
You Drive Me Crazy - Supernova Remix,209208,False,6,Paul Johnson;Zoe Thorn;Supernova,You Drive Me Crazy (Supernova Remix),5,-9.169,1.0,0.0379,0.884,0.0918,124.99,4.0,431.0,chicago-house
Cuando Llegue la Hora,219069,False,34,Cyclo,Amor y Muerte,4,-8.86,1.0,0.15,0.0,0.0936,172.036,4.0,623.0,spanish
Kinna Sona,316604,False,0,Sahil Arun,Kinna Sona,5,-12.909,1.0,0.0434,0.000153,0.267,115.2,4.0,596.0,indian
Vem de Kombi,177954,False,49,Pablo;Tierry,Vem de Kombi,8,-4.67,1.0,0.0504,0.0,0.117,131.993,4.0,388.0,forro
Boat Song,115370,False,31,CoComelon,Vehicle Fun with CoComelon,0,-8.974,1.0,0.0387,0.000181,0.101,180.011,4.0,332.0,disney
他夏了夏天,304600,False,41,Sodagreen,夏 / 狂熱,9,-6.509,1.0,0.0304,0.0,0.0904,124.982,4.0,624.0,mandopop
Used To Call Me Baby,214213,False,2,Split Lip Rayfield,Never Make It Home,7,-6.722,1.0,0.0348,0.000117,0.266,187.124,3.0,642.0,bluegrass
I like It Loud - Original Mix,205392,False,5,The Prophet,The Hardcore Archive Part 3 (1997),8,-5.926,1.0,0.143,0.000529,0.25,187.157,4.0,637.0,happy
Khamoshi,189391,False,50,Ritviz;Karan Kanchan,Dev,11,-7.944,1.0,0.0434,0.0001,0.42,114.95,4.0,358.0,indian
Come as You Are,225440,False,26,Pickin' On Series;Iron Horse,Pickin' On Nirvana,4,-8.25,0.0,0.0254,0.0462,0.113,125.932,4.0,461.0,bluegrass
好好 (想把你寫成一首歌),198551,False,54,Mayday,自傳,0,-8.876,1.0,0.0284,0.0,0.12,133.895,4.0,432.0,mandopop
Little Bar,141882,False,9,Justnormal,Effervescence,4,-7.574,1.0,0.0391,0.833,0.105,170.057,5.0,394.0,study
Whine up Fimi,212210,False,42,Charly Black;Chris Martin,Whine up Fimi,1,-3.929,1.0,0.0826,0.0,0.0761,94.936,4.0,335.0,j-dance
Dead Man Walking,237693,True,0,bloodsimple,Metal,1,-3.463,1.0,0.0823,1.56e-06,0.319,107.767,4.0,421.0,industrial
I Fall Apart,312400,False,51,Rory Gallagher,Rory Gallagher (Remastered 2017),7,-13.297,0.0,0.0961,0.0012,0.123,79.432,4.0,406.0,bluegrass
Cartão de Crédito,167395,False,30,Priscila Senna,Cartão de Crédito,4,-3.118,0.0,0.0361,0.0,0.15,114.113,4.0,313.0,forro
Instintos Animales,266386,False,42,Kinky,Fierrro,10,-6.821,1.0,0.0331,0.0954,0.0819,94.02,4.0,413.0,spanish
Clarion - Kiasmos Remix,343278,False,44,Ben Lukas Boysen;Kiasmos,Clarion (Kiasmos Remix),6,-14.3,0.0,0.0419,0.837,0.107,122.014,4.0,686.0,idm
broken hash,108750,False,30,slån,superficial,7,-12.489,1.0,0.109,0.904,0.113,158.361,4.0,283.0,study
A Walking Disease,223716,False,0,Chaos Descent,A New Clear Dawn,2,-6.402,1.0,0.14,0.00283,0.308,199.955,3.0,736.0,iranian
Sentimental Mood,109500,False,41,Crate Diggers,Mixtape,10,-12.088,0.0,0.0423,0.163,0.17,80.03,4.0,143.0,study
I Love You (7 Inch Radio Edit) - Extended Mix,244506,False,0,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0,-3.979,1.0,0.0514,0.0223,0.105,159.937,4.0,643.0,happy
Long Walks,124807,False,40,Joi Casette,Long Walks,7,-9.765,0.0,0.0741,0.951,0.0768,156.647,4.0,326.0,study
Game of Illusions - Original Mix,207174,False,0,Chaos Descent,When Life Leads Us to Death,9,-4.948,1.0,0.083,0.0,0.407,100.039,4.0,340.0,iranian
Saawan,231165,False,20,Bombay Bandook,Saawan,11,-8.243,1.0,0.0359,0.00909,0.506,81.511,4.0,306.0,indian
"Ewangelina - z filmu ""Księżniczka i żaba""/Ścieżka dźwiękowa polskiej wersji",116013,False,24,Robert Rozmus,Ksiezniczka I Zaba,3,-8.93,1.0,0.0457,3.18e-06,0.098,96.693,4.0,145.0,disney
Summertime Rolls,114346,False,39,Wood & Wire,North of Despair,9,-10.204,1.0,0.0364,0.98,0.243,173.004,4.0,325.0,bluegrass
Laugh & Gwan,153681,True,23,Mavado,Laugh & Gwan,4,-2.965,1.0,0.102,0.0,0.135,100.103,4.0,252.0,j-dance
Aguenta,297983,False,34,Cristina Mel,Aguenta,7,-3.595,1.0,0.0325,0.0,0.183,127.393,4.0,618.0,brazil
You're My Angel,314653,False,45,Styles & Breeze,Skydivin',7,-4.435,1.0,0.0456,0.525,0.146,144.011,4.0,737.0,techno
Planet Side,136666,False,6,DGHTR,Planet Side,2,-8.186,1.0,0.0707,0.816,0.104,144.036,4.0,327.0,study
Mimo a Mi Mamá,152746,False,38,Panam y Circo,CD9: A Jugar Con Panam,0,-6.642,1.0,0.0441,0.0,0.0997,124.842,3.0,281.0,spanish
Devotion - DJ Spen & Thommy Davis Remix,220644,False,6,Ten City;DJ Spen;Thommy Davis,Judgement,6,-5.651,1.0,0.0363,0.0,0.232,123.995,4.0,455.0,chicago-house
Din,157853,False,20,Therion,Sitra Ahra,8,-4.347,1.0,0.0709,0.678,0.087,184.998,4.0,479.0,black-metal
Enjoy the Moment,195311,True,9,Charly Black,Enjoy the Moment,7,-4.93,0.0,0.0598,3.73e-06,0.348,121.989,4.0,391.0,j-dance
Te necesito - Remaster 2015,244413,False,30,Hombres G,30 años y un día,7,-7.064,1.0,0.0265,0.00463,0.248,85.117,4.0,340.0,spanish
Beauty Queen,290486,False,15,Hybrid,Light Of The Fearless,1,-6.268,1.0,0.032,0.0,0.101,133.014,4.0,626.0,breakbeat
Mushrooms - Justin Martin Remix,321934,False,7,Marshall Jefferson;Noosa Heads;Justin Martin,Tapes,1,-8.926,0.0,0.0688,0.366,0.324,125.182,4.0,672.0,chicago-house
Agoya,306733,False,27,The Souljazz Orchestra,Inner Fire,7,-5.531,1.0,0.0723,0.811,0.198,115.967,4.0,582.0,afrobeat
The Enigmatic Spirit,283386,False,19,Vintersorg,Cosmic Genesis,9,-8.287,1.0,0.0406,0.0,0.1,120.01,4.0,555.0,black-metal
Eu Não Quero Ser Ninguém,240120,True,40,Sid;Pedro Senna;Ugo Ludovico,Cordas Musicais,9,-9.358,0.0,0.133,1.27e-06,0.115,124.236,4.0,490.0,brazil
In The Middle Of The Night,269266,False,21,New Grass Revival,Best Of New Grass Revival,7,-9.746,1.0,0.0507,0.000386,0.0904,174.341,4.0,759.0,bluegrass
Cut-Rate,292066,False,28,Prong,Cleansing,9,-8.353,1.0,0.054,0.607,0.166,94.813,4.0,463.0,industrial
Eu Sem Você,252212,False,40,Silvanno Salles,Volume 16,6,-4.285,1.0,0.0346,0.0,0.206,138.978,4.0,584.0,forro
Asa Branca,168266,False,56,Luiz Gonzaga,Mega Hits - Luiz Gonzaga,7,-6.329,1.0,0.0322,0.0,0.0886,121.021,4.0,338.0,forro
I Love You (Love Mix) - Extended Mix,394906,False,0,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0,-5.863,1.0,0.0779,0.361,0.0928,143.81,4.0,934.0,happy
Para Que No Se Duerman Mis Sentidos,233360,False,4,Manolo Garcia,Éxitos del Pop en Español de los Años 2000,11,-3.943,0.0,0.0626,0.0,0.106,88.096,4.0,338.0,spanish
Legend of Phaxalot,210634,False,11,Ceephax Acid Crew,World Dissolver,2,-10.861,1.0,0.0371,0.742,0.103,125.001,4.0,433.0,idm
Quarto de Motel / Só Pensando em Você - Ao Vivo,241045,False,42,Humberto & Ronaldo,Copo Sujo (Ao Vivo),4,-5.307,1.0,0.031,0.0,0.422,148.096,4.0,601.0,forro
Im Mondenschein,91466,False,21,Debby van Dooren;Tommy Amper;Friedel Morgenstern,Die bunte Seite des Monds (Musik zum Netflix Film),7,-7.567,1.0,0.0319,0.0,0.105,157.909,4.0,238.0,disney
Vega,151565,False,8,"Sarah, the Illstrumentalist",Constellations,5,-16.022,1.0,0.0408,0.957,0.104,91.964,4.0,229.0,study
Console,430108,False,7,Zimmz,"A-Sides, Vol. 8",4,-9.839,0.0,0.0573,0.875,0.0759,126.995,4.0,906.0,techno
ひらがなけやき,223226,False,23,Keyakizaka46,走り出す瞬間 (Complete Edition),0,-3.164,1.0,0.0333,0.0,0.342,124.992,4.0,451.0,j-idol
僕は僕を好きになる,291866,False,24,Nogizaka46,僕は僕を好きになる,10,-2.35,1.0,0.0521,0.0,0.148,131.948,4.0,624.0,j-idol
A Table is Waiting - France,124715,False,9,Tokyo DisneySea,Tokyo Disney Resort Autumn Best (Special Edition),5,-11.934,1.0,0.0385,0.0,0.263,111.11,4.0,227.0,disney
A Whole New World - Remastered 2022,160306,False,57,Brad Kane;Lea Salonga;Disney,Walt Disney Records The Legacy Collection: Aladdin,0,-15.742,1.0,0.0351,2.31e-06,0.102,129.272,4.0,314.0,disney
Mirage,400000,False,0,Nima A.M.,Mirage,1,-8.72,0.0,0.034,0.901,0.151,110.01,4.0,722.0,iranian
Heart-Shaped,168000,False,41,Lovely Rascals,Heart-Shaped,11,-13.613,0.0,0.0695,0.916,0.0991,79.99,4.0,224.0,study
White Desert,400696,False,40,Pysh;Stephane Salerno,White Desert,0,-10.333,1.0,0.0399,0.599,0.111,124.995,4.0,833.0,techno
Duende (feat. Aleks Syntek),253626,False,28,Miguel Bosé;Aleks Syntek,Papitwo (Deluxe),11,-6.419,1.0,0.0383,0.0,0.214,126.523,4.0,529.0,spanish
Decida,149934,False,43,Zé Vaqueiro,O Original,7,-2.367,1.0,0.0844,0.0,0.107,157.932,4.0,378.0,forro
Just as I Am,334533,False,43,Travis Cottrell,When the Stars Burn Down,9,-7.263,1.0,0.0276,0.000213,0.125,72.913,3.0,402.0,indian
Hatiku Senang,39053,False,33,Maranatha! Kids,"40 Nonstop Lagu Sekolah Minggu Abadi ,Vol. 3",7,-6.612,1.0,0.136,0.000224,0.284,60.492,4.0,39.0,disney
Hard Worker,125346,False,26,The Avett Brothers,Mignonette,9,-5.39,1.0,0.0396,0.0,0.366,129.825,4.0,259.0,bluegrass
O Destino Não Quis - Ao Vivo Em São Paulo,194876,False,47,Maneva,Ao Vivo Em São Paulo,9,-8.02,1.0,0.042,0.0,0.485,135.912,4.0,431.0,brazil
Sincronia,212683,False,14,Samuca e a Selva,Ditados Populares Dançantes,11,-8.81,0.0,0.0436,0.0211,0.0464,100.064,4.0,351.0,afrobeat
Ostatnie tchnienie Nosferatu,250326,True,23,Truchło Strzygi,Gwiezdny Demon,6,-4.794,1.0,0.049,0.00983,0.281,132.477,4.0,553.0,black-metal
出嫁,271853,False,25,Zhang Qing Fang;優客李林,張清芳 25th 那些你最喜歡的歌,0,-8.679,1.0,0.0303,2.88e-06,0.298,120.424,4.0,536.0,mandopop
John Hardy,209132,False,25,Tony Rice;Vassar Clements;Jerry Douglas;Todd Phillips;Sam Bush;Béla Fleck,Cold On The Shoulder,7,-15.652,1.0,0.0306,0.00308,0.302,146.198,4.0,491.0,bluegrass
Vou Deixar na Cruz,334692,False,43,Cassiane,Vou Deixar na Cruz,5,-5.685,1.0,0.0395,0.0,0.0803,136.085,4.0,811.0,brazil
終雪は灰となりて,276293,False,21,ELFENSJóN,ASH OF ROUGE SIDE ELISIA,8,-2.627,1.0,0.0385,0.0,0.14,121.05,4.0,534.0,j-idol
Dynamite Love,369773,False,0,Krafty Kuts;Freestylers;Dynamite MC,Against the Grain Classics,2,-5.182,1.0,0.0483,0.000513,0.0841,135.006,4.0,815.0,breakbeat
Right In Tune,262706,False,28,Railroad Earth,Amen Corner,5,-6.161,1.0,0.0342,0.00742,0.0682,120.328,4.0,524.0,bluegrass
Vi,177382,False,27,Pablo López,Once Historias Y Un Piano (Edición Especial),7,-6.406,0.0,0.0272,0.0,0.114,79.99,4.0,232.0,spanish
Be Still My Soul (In You I Rest),311122,False,46,Kari Jobe,Kari Jobe Collection,8,-8.735,1.0,0.0324,3.53e-06,0.121,122.006,4.0,542.0,afrobeat
Skylla,345760,False,8,Kelpe,Ex-Aquarium,7,-8.161,1.0,0.0463,0.852,0.375,86.024,4.0,492.0,idm
なないろ☆ナミダ,293666,False,32,Tomato N' Pine,なないろ☆ナミダ,8,-5.268,1.0,0.0278,6.07e-05,0.187,127.047,4.0,604.0,j-idol
Cancela esse amor,188437,False,43,Vitor Fernandes;Unha Pintada,Piseiro Atualizado,3,-3.412,1.0,0.0377,2.58e-05,0.0385,156.072,4.0,488.0,forro
