name,artists,album_name,explicit,popularity,track_id
Pal - Lofi Flip,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,Pal (Lofi Flip),False,61.0,0Pe6XBhleBHeyuE23ZHETQ
Meu Vício É Você,Zezo,Zezo (O Príncipe dos Teclados),False,56.0,2Vc9LNNO6F2A7pYxPx3yWX
Get Get Down - Original Mix,Paul Johnson,"Best Of Moody Recordings, Vol. 1",False,10.0,4D6NNrHLQKtSF0F2Q6JC9L
Battle Cry,Kraff Gad,Battle Cry,True,26.0,6OkYpM5NoIeVjsd4Y7aQmm
Wir Ziehen Heut Abend Auf's Dach,Jürgen Drews,Musik Box Teil 1,False,24.0,2a5bKYQdpCNJQEOAw5uRsM
Despot,Windir,Likferd,False,19.0,3SYk0BQzYeuoOOwoSStypY
Vou Te Procurar,Asas Livres,Asas Livres & Pablo: Retrô (Ao Vivo),False,37.0,4956AK7tLyKM6e0KEYT9RF
Isso Aquí Tá Bom Demais,Dominguinhos,Nas Costas Do Brasil,False,46.0,0IYrGOyrB4IM1Q1nMGnpSk
The Light Tears Apart,Shivered,Journey to Fade,False,0.0,0bqJjmefOZT1BcWDSiwtTS
i loved you first,joan,i loved you first,False,49.0,3FpEXAupLwCHwzeUBxF99S
Filho de Davi,Tony Allysson,Poderoso Deus,False,50.0,7fFAzENuVg6Zxq1w0q6sZR
"Tere Siva Jag Mein (From ""Tadap"")",Pritam;Shilpa Rao;Darshan Raval;Charan,"Tere Siva Jag Mein (From ""Tadap"")",,,
Homophobia,Tension Prophecy,Death Metal From Iran,True,0.0,1r5uwAOvgDM6IpA68Dxq31
Ajab Adaayein,Swattrex,Ajab Adaayein,,,
The Remedy,Puscifer,Money Shot,True,53.0,57ULv0uC3dyWCxqh8AtOh8
Long Hot Summer Days,John Hartford,Mark Twang,False,30.0,3b2Ph5pbTDpzafQ4Ol8N0m
Acalma Minha Tempestade,Frei Gilson,Eu Vou Crer em Ti,False,58.0,04TVuiNigesg0prTE7KG0F
Cloudy Daze - Ham Mix,Bang!,Cloudy Daze,False,24.0,2fgiF1ZRANakOdqC0I4Kkj
La Lola,Café Quijano,La Extraordinaria Paradoja Del Sonido Quijano,False,50.0,0VnAETWOc4BCr4YbzfI7zH
Des fissures apparaissent,Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),False,24.0,1UNoBSP7pkEQq1kb4x1aS3
The Potters Hand,Hillsong Worship,Ultimate Worship Vol 1,False,31.0,2yuawbedrb5gRklFPOHN6f
Goodbye (feat. Xillions),le Shuuk;Xillions,Goodbye (feat. Xillions),False,52.0,0ncgj6yTGzZ4GwX2dbXAKE
Summer Wages,J.D. Crowe & The New South,J.D. Crowe & the New South,False,20.0,5igjw40Tq2xGnw6MiGXuIn
E.C.T. - Ao Vivo,Cássia Eller,Acústico (Ao Vivo),False,2.0,0Ky9bGGV8qMoq8HBSpbYt4
American Car,Keller Williams with The Travelin' McCourys,Pick,False,17.0,4L53zUtZUCrorqVbym0T50
Blow the Man Down,Mickey Mouse;The Gooey Fish,Mickey Mouse Clubhouse,False,42.0,1Mk8jNxnezeqII6nNyMEWg
Beaks of Eagles,Kelpe,Fourth: The Golden Eagle,False,13.0,4W5LREYy8mr0tGcuaRTIXm
Down 4 U - Extended Version; 2017 Remaster,Romanthony,Glasgow Underground 1997-2017,,,
For Those Tears I Died,The Isaacs,The Living Years,False,34.0,7juX89alZ9amkn0vPVQrnT
Acending,So Jao,Acending,False,57.0,0gny3oCHB6fKmZ6PoDedRA
Filmes e Histórias,Pablo,Um Novo Passo,False,46.0,2CnCvYssfRhJ3yDngUcOuJ
Dignity,Kahtmayan,Resurrection 1,False,2.0,1wgIDL5OXIF3IpMrkVSSiR
Dance Wit U,CIRRRCLE,BESTY,False,19.0,6N0S1LPNDEjlGOXm1xj4rS
Falling Time,Alphaxone,Dystopian Gate,False,6.0,1ewrD3hYHITiHpwEuQBOSQ
Stupid MF,Mindless Self Indulgence,You'll Rebel To Anything (Expanded and Remastered),False,52.0,5x72ol5TLUO0ymkQr4JuWB
與海無關 (《比悲傷更悲傷的故事》影集版插曲),告五人,運氣來得若有似無,False,51.0,4HMsQy6myJNy1GoCLsIDDR
Het barsten begint,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),False,18.0,02kWjlxPQ9g6gsZyLmKiOJ
Helligdom Av Døde,Khold,Svartsyn,False,9.0,5kXSNI0ra15eQ5uil3uYOR
A System Of Mirrors,Robert Hood,Mirror Man,False,7.0,4eWJNtBuAF8RP3hmeNr6GG
ラッキー7,Flower,Hitomi No Oku No Milkyway,False,26.0,6eVzeeVQvesYnnRRlFyCns
Snart blir jeg majestet,Eirik Espolin Johnson;Pernille Sommerfeldt;Anders Hatlo,The Lion King: Special Edition Original Soundtrack (Norwegian Version),False,42.0,19ELA3N8ohiS5jJnNzH9kM
Tell Me If Yuh Like It,Vybz Kartel,Tell Me If Yuh Like It,True,21.0,0adBXiFQyVirYKM4WbITR1
Dull Boy,Mudvayne,"By The People, For The People",False,32.0,6TZ9bryRYVFYrvmEtzAvDu
Atomic Ever After,Kid Travis,Strawberry Skies,False,39.0,1n4uibGrRI6HxVXlDFF30Y
River of Grace,Christy Nockels,Be Held : Lullabies for the Beloved,False,48.0,46kZhvM2ms6pIXP8Mc04Tr
Dooms Day,Arsames,Immortal Identity,False,8.0,0bq8T0Drwu9bRjDeJKaidx
"Zicke Zacke, Prost ihr Säcke",Jack Gelee,"Zicke Zacke, Prost ihr Säcke",False,23.0,5wZ7Hw40wC04N0k4NDlgBC
Sick Of It All,Nosferatu;Evil Activities,Strength,False,12.0,4N5k7XuQ6waV84W0Zk7ia3
Aropador,Plastilina Mosh,Juan Manuel,False,21.0,6GgeQ4ZB0Y8hS0ngdWzahy
The Sicarii,Ninkharsag,Blood Of Celestial Kings,False,18.0,68o1x8lzfq8PA4IjlAUn9K
Daar zijn we weer!,Nosferatu;Neophyte,Harmony Of Hardcore 2016,True,17.0,0aVeKK8ga19q70Q1T5RY3r
deep cracks,fogdream,deep cracks,False,29.0,7zQqLegPosxGECgeN0oRXG
WKND,Camo & Krooked,Zeitgeist,False,16.0,5e4GiEVitMmK06oXYvrZ63
Offering,The Avett Brothers,A Carolina Jubilee,False,29.0,2mzUlG9dHLcSj2FiNvpEud
Hondo,Flamman & Abraxas,Hondo,False,9.0,1WEToeRWLqfsufm2ZpMiij
Tum Mile,Pritam;Neeraj Shridhar,Tum Mile (Original Motion Picture Soundtrack),False,67.0,00ake6KfnzbZ2MaRLGqsyX
イエローライト,Shiritsu Ebisu Chugaku,私立恵比寿中学,False,15.0,4B6dNM6N7sXGJygo2kufWA
Aaoge jab tum o sajna unplugged,Nitin Shukla,Aaoge jab tum o sajna unplugged,,,
Dendrofil for Yggdrasil,Kvelertak,Nattesferd,False,26.0,1w5q96YIMr4yqQgYuQsMbC
Hermosa,Timothy Infinite,Suave,False,2.0,35gkjAc0O2GsQI9R3ct4xL
Forest Green,Kyson,Forest Green / Have My Back,False,34.0,49BVYndXvek1joQZSXzPry
Big Brother,Mushroomhead,Superbuick,True,21.0,2qLqfjB96rV5SMgp91PcXR
Dhoom Machale Dhoom,Pritam;Aditi Singh Sharma;Sameer Anjaan,Dhoom:3,False,52.0,1OBOW5jFnqpieVQFsxu2P9
Confide,Technimatic;A Little Sound,Confide,False,34.0,5KnhppqnOUy4ZyVwN8Ocqw
Rockit,Bad Boy Bill,The Album,False,24.0,7tlw2BnFAfaq10wMmrRzWo
My Promiscuous Daughter,CKY,"Camp Kill Yourself, Vol.1",False,28.0,0K0oGB3LEiehwaRIhBFLTf
Are You Ready (ft. Capital J),Bassnectar;Capital J,Cozza Frenzy,False,14.0,2PIikRr4ATY2iTlUbRJglP
Graveyard Slut,Darkthrone,The Cult is Alive,True,20.0,70RLwSIBClxedybDYa2XWy
Too Close To Hate,Sevendust,Sevendust,True,29.0,2RMlLJHFAYEVVaLVY1YcqW
We Don't Talk About Bruno (from Disney's 'Encanto'),Piano Genie,We Don't Talk About Bruno (from Disney's 'Encanto'),False,4.0,3XkxqcNTlxK2dKnJ9NjVQL
Their Law,The Prodigy,Music for the Jilted Generation,True,29.0,00Qv5EGE9Mveie08d6ilXR
Amores de barra,Ella Baila Sola,Grandes Éxitos: Ella Baila Sola,False,29.0,3hhq0bgUAFOVpU8UTRAOSv
Mehman,Anupam Roy,Mehman,False,24.0,6mPet122yXpp6X8iTiNVo9
BALD! REMIX,JPEGMAFIA;Denzel Curry,BALD! REMIX,True,48.0,10hKTZyq2N6iSULhpZXrDd
Be Kind,Rival Consoles,Persona,False,38.0,3rkesmzecZXrKZ7HA68OKZ
"Safar (From ""Jab Harry Met Sejal"")",Pritam;Arijit Singh,"Safar (From ""Jab Harry Met Sejal"")",,,
期待,王瑞霞,"鄉城台語精選, Vol. 1",False,24.0,38vAr5wN14SXSGprdEtNLN
Close - Derrick Carter Mix,Chez Damier;Derrick Carter,Close,False,6.0,2RT9iiOOoqEWiGIaBRLVkL
勉強の歌 - 2012 Remaster,Chisato Moritaka,ザ・シングルス 1987-1992 (2012 Remaster),,,
Stukas im Visier,Feindflug,Feindflug (Vierte Version),False,20.0,113Kid29MwKNKzglKynVYB
"Ponyo on the Cliff By the Sea (from ""Ponyo on the Cliff By the Sea"")",David Healer,Studio Ghibli Piano Lullaby,,,
Fried Banana 2018,OSAMU SATO,LSD REVAMPED,False,10.0,2hAoZ8jEe8UNWZL2iaVgc1
Mi Chaqueta de Cuero,C.R.O,C.R.O - Mdbcrew Vol 2,True,41.0,0QpaT9XONsybItcUX7zogF
cheesus,Giorgio Robertini,Slidetrue,False,0.0,0ejkH1rRBWfVWw52wNt6qq
Don't Loose Control,Cosmic Boys,"Monosphere, Vol. 5",,,
Shabistan,Dariush Dolat-Shahi,"Electronic Music, Tar and Sehtar",False,6.0,5CiL62jzro1y8xsX3EnVdc
Prego e Martelo,Pablo,Meu Coração,False,43.0,35fynkU1inCApWDFmlN7uF
Weird Sex,Leila Bela,Angra Manyu,False,0.0,1XFPLIKOl82LuDVJRLQ9Sv
Crackpipe,Micropoint,Overdose United,False,24.0,2jZmhQhsSRqqsZmMMedVeo
退後,Jay Chou,依然范特西,False,60.0,1xYPMWVdl2yqOkQpjWPVbU
可愛女人,Jay Chou,杰倫,False,55.0,4RbjlqzGc5piUTTr32XMlv
Pai Nosso - Ao Vivo,Padre Marcelo Rossi,Padre Marcelo Rossi Sem Limite,False,26.0,3xArlyFGlFLjPCSivTD6ce
"Bilu, Bilu",Pablo,É Só Dizer Que Sim,False,59.0,4VJ4ICILSWTDuWlBdsyTHT
Nossa História,Forró Boys,"Forró di Katiguria, Vol. 3",False,46.0,3WwLC6FZsy3DeXOxBIxnep
Ova Dweet (Mixed),Popcaan,CruiseControl: How I Met The Biggest Bird (DJ Mix),,,
Ballada 07,Grzegorz Markowski,Polska Nostalgia 60+ Cz.3,False,22.0,3kTFElpN5xHxwLRqDsd2Po
I'm not yours (feat. 安室奈美惠),Jolin Tsai;Namie Amuro,呸,False,25.0,0Tmdi0hpHXBQb6AJSKwbBl
Baadaabaad,Rojin Sharafi,Zangaar,False,0.0,4bjb0FlAv0LS2agVDxW9eN
Ginger Root,"Sarah, the Illstrumentalist",FLOWERS,False,5.0,2j2WyrT9VmJFOuOGIs2cIg
Anye Up,Ed Solo,"Welcome To The Jungle, Vol. 6: The Ultimate Jungle Cakes Drum & Bass Compilation",False,22.0,65mHBUQvgwRbHcPojHjWq4
Aura,Avoure,U,False,57.0,0B2GWovtxzsh0a02PBbNl7
Andas,Noa Sandberg,Andas,False,26.0,42Rzf70H0cM88EDU5YV0cq
Noble Maiden Fair,Jartisto,Brave (Music from the Motion Picture for Solo Piano),False,18.0,572TlE4Kffv9f5dfnN4g4g
Tiê,Sambabook;Criolo,"Sambabook Dona Ivone Lara, Vol. 1",False,20.0,1zr8gucSalWOACeVRFQ9qm
Imprint of Pleasure,Tube & Berger,Pleasure Dip,False,56.0,1k9PXkj82QlXacWUptk1Aa
Get This Place - Radio Mix,Paul Elstak,The Best Of Paul Elstak Top 20,False,17.0,4emkRDCqnJ2TtVs2u5qp0i
Billo Rani,Pritam;Anand Raj Anand;Richa Sharma,Dhan Dhana Dhan Goal,False,60.0,4NtaQSiRgkQ2Af8GSW0B0t
(......棕髮少女)(feat. 小野麗莎),吳青峰;Lisa Ono,馬拉美的星期二,False,35.0,1eqeDeOm0TsjS3j3vlSan2
Take U Back - Mad Dog Remix,Angerfist;Mad Dog,The Deadfaced Dimension,False,24.0,75E9rA8ig6UmsJjRsK7r48
Dozen + 10,Govana,Liverpool Riddim,True,19.0,0yPij2haLTGO72QdyXh8mu
勇敢的人,No Party For Cao Dong,醜奴兒,False,48.0,2JLenxeFclrYr9opG2mAjZ
Amor Sin Odio,Skaparapid,Que Empiece Ya!,False,34.0,2bk0AuqjYp7giuIOuD6G2W
Ihr könnt Euch einfach mal - Walter Wild Mix,Ikke Hüftgold;Basti Trailerpark;Walter Wild,Ihr könnt Euch einfach mal,True,23.0,6o5Lv9i5JCIny86rbC4FPd
The Great Wound of History,Beshenitar,The Great Wound of History,,,
你怎麼捨得我難過,音樂磁場,音樂磁場1-國語經典名曲,False,22.0,191N9EutKkjp93Dcn5zWgX
Shelter,Ocoeur,Inner,False,9.0,1Va8zr9VQK56Ka8Z2ODdNP
Sandsings - Stylophone mix,Mira Calix,Pin Skeeling,False,7.0,3LZVc37cIFzRUowh9vlnmi
flat disc - Coffe Shop,wet by water,flat disc,False,44.0,3dwL80oiNV7KBbihAgcmRZ
ヴァージニティー,NMB48,ヴァージニティー (劇場盤),False,27.0,7tuHBStck3zEa0vpcNGtiB
Lage Nahi Man,Vismay Patel,Lage Nahi Man,False,56.0,6sdird6R3Bl7KXbCXpnPVy
Akela Hoon,AMAN,Akela Hoon,False,52.0,7pWAX5kJBULFTDNiH8oB42
"Senhor,Que Vieste Salvar...",Padre Zeca,Dez E Deus,,,
Me Voy Pa’ Porce,La Misa Negra,La Misa Negra,False,15.0,617OBG0RevNKiTGokVqhmt
Amazing Grace (My Chains Are Gone) - Live,Passion;Chris Tomlin,Passion: The Essential Collection (Live),False,38.0,3exoPpEA6dsPy7EL9ogyvZ
波打ち際を走らないか?,Keyakizaka46,風に吹かれても (Special Edition),,,
Crazy Legs,(Hed) P.E.,Broke,False,24.0,5h7RBt7uQCF788tr9Zy92j
Leja Leja,Sultan Khan;Shreya Ghoshal;Salim Merchant,Ustad And The Divas,False,48.0,5kWMV8yuPP6zSdz4MZhjVh
Fim Sem Ponto Final,Priscila Senna,Fim Sem Ponto Final,False,42.0,01ugCZkdpZ6eYWT7AnhI54
Chama Arteira,Samuca e a Selva,Ditados Populares Dançantes,False,18.0,5QkUh3JKMlKETQEdz4RjAs
"Traditional: Kommet, ihr Hirten",Traditional;Wiener Sängerknaben;Schubert-Akademie;Gerald Wirth,Klassische Weihnachtsmusik,False,0.0,4aa9D0k5Kgkjmn8HZqtGA0
Só Tu és Santo / Pra Onde Eu Irei? / É Tudo Sobre Você - Ao Vivo,Dunamis Music;Rapha Gonçalves;MORADA,The Send Brasil (Ao Vivo),False,50.0,4WCywozuuSXGl3CscRHVD5
Amor Maior,Jota Quest;Jão,Collab,False,37.0,50khO0Eyt5WqIN8D51ieJn
Wintree,Stapes,Wintree,False,35.0,4czheLDZlGJuCt0Tt6e8IC
Todo mundo de Pie,Planetshakers,Nada Es Imposible,False,29.0,0lSwLhBarLwM5XTFmBc8ri
La Fuerza,La Bien Querida;Los Planetas,El Que Sabem (Original Motion Picture Soundtrack),False,32.0,5tJH06jpoUrgHk493Ef3ZQ
Pearl of Carolina,The Infamous Stringdusters,Toward the Fray,False,16.0,16vImrCWhWHYd7BhEKDJaa
Diga pra Mim,Zezo,25 Sucessos de Zezo (O Principe dos Teclados),False,37.0,00EQ4yN6Z9tEpvMxk5gmFM
Calm,Nature Sounds;Nature Sounds Nature Music;Nature Sound Collection,"Nature Sounds: Relaxation, Sleep, Meditation, Yoga, Study Aid, Insomnia",False,33.0,6xVeWeoTDZt91qaFRSnUWD
Lily Of The Valley,Steve Ivey,30 Bluegrass Gospel Favorites,False,15.0,5heios35bREoyatMHZC30h
Feed Your Head,Paul Kalkbrenner,7,False,62.0,7pgFHs8K5OgB9PGDY3sysE
One Sweet Ride - Without Dialogue,Tokyo Disneyland,Tokyo Disneyland The Happy Ride with Baymax,False,26.0,3drtgCg2gNTqM1MVT3RBg6
Hardcore To Da Bone,Masters of Ceremony,The Best Hardcore Classics Ever,False,19.0,2lEPtBF7FhGnzEpvbJFkHU
stuck up top,Justnormal;frumhere,better unsaid,False,15.0,2FvMlJq0bKurGnR77QJvS5
Song For His Presence - Live,Hillsong Young & Free,Out Here On A Friday Where It Began,False,32.0,3Wmna4aFFunNJPeLzwcdUa
Beach & Berries,Kantboll,Beach & Berries,False,25.0,10zYErxZB71gJnKk5iaQD9
Feel a Vibe,Layton Giordani,New Generation,False,44.0,3xCzJdEk1ixBUPg32TNirS
Graceland,Plastilina Mosh,Juan Manuel,False,21.0,5yr3x2a1Qoz3cECLhuAbqa
Te Amei A Mais - Ao Vivo,Douglas & Vinicius,Ao Vivo Em São Paulo (Vol. 4),False,38.0,3nRooNh2wzDNXEy9KUnecK
Pretty When You Cry (Live),Vast,Vast Live in New York City,True,25.0,7A65TXKboDpRqITj44k1z7
Slowly - En Directo,Luis Eduardo Aute,De la Luz y la Sombra (En Directo),False,35.0,0c1RJfMPYWpgdUvC02JCpJ
Mata,Akalé Wubé,Mata,False,39.0,6TRYv8brfH12SfgV8lMraP
惡作劇,Tangerine Wong,惡作劇之吻,False,60.0,643hRiTY9vzD6P0cWO8UP3
Nuh Reason,Jahvillani,Nuh Reason,False,8.0,2YjSz9dLGdkHOc20Ayq4pl
Nebel,Droplex;Mark Dekoda,Nebel,False,0.0,4VIYHUaZ4xSdHuDoqTqKgt
Side Effect (feat. Au/Ra),Alok;Au/Ra,Side Effect (feat. Au/Ra),False,57.0,4op0sQ8BfzRsW4gGGlR7TU
Natural Spectrum,Ceephax Acid Crew,Cro Magnox,False,19.0,3Q3LljvwFQhdqwlMX7lb8v
Rituals,Lorelle Paredes,Rituals,False,59.0,6ijjVhsdUDrHWTkciKq0nD
Rumba,Natos y Waor,Luna llena,False,59.0,5AiGpfWDQCb0DdVfMkA9W9
I Like It - Kenny Smoove Remix,Jomanda;Kenny Smoove,Nubia Soul,False,14.0,52RANyomHjZMyuEZzNTHDO
against,Sayaka Yamamoto,ゼロ ユニバース,False,0.0,0VLpouvHEujW43EsNXUCBo
Yes! Come Parade With Us,Leafcutter John,Yes! Come Parade With Us,False,28.0,1r6ydnQKC9Ukvh87ANT0Hh
Cigar Time,The New Mastersounds,Made for Pleasure,False,18.0,0dfu8ZDFuVmcSGzvq4vQl9
Benzin,Rammstein,Rosenrot,False,50.0,1Q94WI2punbv0tABeSch7n
Cloud Study,Norris Melcher,Cloud Study,False,60.0,3rAchCb8ZxPuKJVXxQX6ui
High in Yah,Jah Vinci,Imac Riddim,True,3.0,6M9aKmafWys7ILg1qXPTGa
396 Hz Aumenta las ganas de vivir,Mc_team,Frecuencias Curativas Solfeggio 369 Hz,False,41.0,0x5ZedIvJAu3lXo355x8AQ
Wicked Slam,Beenie Man,Dancehall: Beenie Man,False,29.0,2DIWmmR9el57rtcTEYE7Eh
BORN FI DIS,Chronic Law;ATTOMATIC RECORDS,1law,False,18.0,1GER4WyYnB0sOlzCMNi2Bk
Clima Tropical,Dani Fernández,Entre las dudas y el azar,False,57.0,7JFa80j5Cw6DMf8RISgd0t
Off Screen,VNV Nation,Transnational,False,23.0,7tuf1Tr79WpGtreNC1rK7q
MEU VÍCIO É VOCÊ,Zezo,O Príncipe dos Teclados,False,56.0,2Vc9LNNO6F2A7pYxPx3yWX
Sdraiata accanto a me,Scintillante,Sdraiata accanto a me,False,35.0,4vF5CLuFgNo6o3Rt2FrNoA
Break Ya King - Dub Edit,Shade k;Terrie Kynd,Break Ya King (Dub Edit),False,9.0,1I2OwO2Z6tMdahxDcH3p1H
Promised Land - Floorplan Extended Paradise Remix,Joe Smooth;Floorplan,Promised Land (Floorplan Paradise Remix),False,3.0,2uZzgoNxvRXEzaE2ORQV0V
Mami,Rvfv;Pablo Mas,NASTU,False,69.0,4FjkjrvfbB3C4eUqWlw3vB
O Seu Amor por Mim - Ao Vivo,Weslei Santos,Pra Todo Mundo Cantar (Ao Vivo),False,49.0,2KezizwgtM5kC8ZQxcBf0T
Hannah,Dalsin;Froid;KK,Hannah,True,43.0,6ueWea9Fl5OkarsQf4Fn14
For Me,Limoblaze;Marizu,Afrobeats Rap and Jesus,False,46.0,6lnXNuAixFoNuoEe2dXb6d
Phosphor,Bölzer,Hero,False,18.0,3WJsbRrS5rE2FxBWe1Pkhq
Mi Eden de Tristeza,Porta;Pumpkin,No Es Cuestión de Edades (Maqueta 2006),False,31.0,02GgBrc9tRD1gDmy3uTfJO
說好不哭,Jay Chou;Ashin Chen,最偉大的作品,False,63.0,77BQceOpfvUBXgokOFHYMm
Strange Clouds,"Sarah, the Illstrumentalist",MOMENTS,False,8.0,4aIy87lPh02Q3r1VfLHKd7
House Party - Doe Schite Remix,Aaron Smith;Malik Hart,House Party,False,8.0,5x3iVlTaxl4fjD1OoUQ7WW
Algo Contigo,Rosario,Halloween 2022 Pop Vol. 1,False,0.0,0vmghpTUrKYbhKq7uJ0beC
Volume Três (Acústico) - Ao Vivo,Douglas & Vinicius,"Douglas & Vinicius: Acústico, ao Vivo",False,6.0,3F3GGF4lxd26T0idaVsr04
Espelho Espelho Meu,Banda A Loba,Espelho Espelho Meu,False,44.0,1BVMEv3NmUy4cGY9nnOotM
Geração Coca-Cola,Legião Urbana,Mais Do Mesmo,False,47.0,1jdAzKbRRrIQ3fpodftKfj
Tongue,Anenon,Tongue,False,10.0,2Hz70gAhvFwJvTahAtlaKm
Diga - Ao Vivo,Dorgival Dantas;Xand,Simplesmente Dorgival Dantas (Ao Vivo),False,37.0,2aF6LOpgV30bsDP1omFr6L
Burnin Love - Rave Radio Edit,Critical Mass,Burnin Love,False,22.0,2zXDohXkGtHzCInhb6WEnV
Conflicto,Timothy Infinite,Cielo,False,13.0,6jEsFa4gAXvikzdt8aijpn
渋谷川,Keyakizaka46,サイレントマジョリティー (Special Edition),False,25.0,48ggu8qMnZep9jKRWB0dAL
Serene Rain,Deep Sleep Rain Sounds,All Night Rain Sounds,False,22.0,7tCL3GNUc04W2S7Cx1MzId
Mostra,Henry Freitas,O Forró Voltou,False,35.0,0YbVj1WuvwWwhS6cQZHH53
Fixed Emotions,rec.memos,Fixed Emotions,False,43.0,7zqjFQqv1FEAv8nlEYLVoR
Strummer Boy,Dusty Decks,RPM,False,45.0,6iEEf0a4KOHbOsbJ4TslLY
A New Today - ANDY SVGE Remix,Endymion;Art Of Fighters;Lilly Julian;ANDY SVGE,Invincible,False,16.0,6OQBLmfuKMpXZ7nGrQW7n1
Gatinha,Marcynho Sensação,Junho 2K21,False,38.0,6GWaU9mWtYPquwPu87yG2W
Sincronia,Samuca e a Selva,Ditados Populares Dançantes,False,12.0,3BT0bKpJTZWYNuH5epKyOT
Better,Faderhead;Chris Harms,Better,False,19.0,4XgPM5HdclVwRNcfYoMWcv
Astral Blood,Wolves In The Throne Room,Celestial Lineage,False,22.0,4fVbzqBB2X2XQfFpnaoxY9
Time Stands Still,xJ-Will;2Infinity,In Your Eyes Vol: I,False,0.0,7C3lbQVR3vlo8WCHNiwycv
Future Underground,Alphaxone;protoU,Back to Beyond,False,7.0,0WMEY4Op0MY7E3pnlItJJ8
Ljusa Drömmar,Eleonora Feldt,Ljusa Drömmar,False,52.0,5HkG3ZdLOVZQI4rpUdGZCa
Gaston - Brazilian Version,Mauricio Luz;Pedro Lopes,A Bela e a Fera,False,25.0,4DhxDKdxHZJJsPDCozBCVz
