,name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,genre
8621,Compulsive Psychosis,254506,False,22,Hypocrisy,Virus,0.303,0.971,6,-3.826,1.0,0.0852,2.55e-06,0.594,0.354,0.14,179.972,4.0,761.0,black-metal
8622,Rigid - Kobosil 44 Rush Mix,412920,False,59,Rosa Anschütz;Kobosil,Rr4,0.805,0.917,1,-5.925,1.0,0.151,0.00086,0.625,0.108,0.27,134.996,4.0,905.0,techno
8623,Long Long Silk Bridge,182386,False,40,Susumu Yokota,Symbol,0.452,0.633,7,-12.691,1.0,0.0475,0.782,0.841,0.114,0.506,178.942,4.0,527.0,idm
8624,Let's Stay Home - A Director’s Cut Classic Club Radio Version,217702,False,15,Frankie Knuckles;Director's Cut;Eric Kupper;Inaya Day,Let's Stay Home,0.803,0.712,8,-4.57,1.0,0.044,0.00172,2.44e-05,0.0629,0.509,116.016,4.0,415.0,chicago-house
8625,Hammer,103200,False,30,Loyla Lo,Sun Study,0.79,0.218,11,-14.49,1.0,0.389,0.401,0.781,0.0965,0.496,75.093,4.0,128.0,study
8626,Midnight Waves,379753,False,10,Alphaxone,Altered Dimensions,0.152,0.419,9,-20.406,1.0,0.0485,0.659,0.908,0.0772,0.131,85.51,4.0,533.0,iranian
8627,Dumcore,309173,False,17,DJ Isaac,Thunderdome 25 Years Of Hardcore,0.737,0.633,1,-12.916,1.0,0.11,0.0742,0.896,0.516,0.341,174.076,4.0,888.0,happy
8628,Son Of Suffering - Live,479771,False,52,Bethel Music;David Funk;Matt Redman,Homecoming (Live),0.375,0.508,1,-9.399,1.0,0.0335,0.115,2.04e-06,0.0647,0.124,135.024,4.0,1057.0,forro
8629,Tudo é Possível - Ao Vivo,260853,False,44,Fernandinho,Teus Sonhos (ao Vivo),0.279,0.732,5,-6.236,0.0,0.0346,0.0838,0.0,0.904,0.382,175.875,4.0,765.0,brazil
8630,Senta Aqui,160237,False,41,Dodô Pressão,Diferente dos Iguais,0.874,0.818,4,-2.749,1.0,0.0434,0.438,0.013,0.209,0.867,130.002,4.0,343.0,forro
8631,うそつき。,240675,False,21,Hysteric Panic,オトナとオモチャ,0.446,0.949,9,-3.077,1.0,0.165,0.0134,5.95e-06,0.0552,0.326,173.111,4.0,683.0,j-idol
8632,This is the Way - Car Safety,94890,False,30,CoComelon,Vehicle Fun with CoComelon,0.847,0.376,9,-14.15,1.0,0.093,0.596,5.75e-05,0.0798,0.965,150.047,3.0,231.0,disney
8633,Me dói te ver sem mim,151821,False,29,Vitor Fernandes,Piseiro Apaixonado,0.662,0.735,9,-5.078,0.0,0.0368,0.601,1.31e-05,0.0908,0.715,156.008,4.0,391.0,forro
8634,Fontanel,220246,False,0,Eartheater,Fontanel,0.601,0.878,9,-7.758,0.0,0.0937,0.0379,0.0428,0.593,0.209,120.017,4.0,434.0,techno
8635,If You Wanna,440546,False,6,Roy Davis Jr.;Terry Dexter,Chicago Forever,0.861,0.671,11,-8.566,0.0,0.0785,0.0553,0.000124,0.133,0.671,120.006,4.0,873.0,chicago-house
8636,Hurt - Radio Edit,249333,False,20,Korsakoff;Day-Mar;Erik Lindeman,Hurt,0.392,0.997,1,-2.58,1.0,0.348,0.384,0.00138,0.213,0.0566,180.087,4.0,736.0,happy
8637,Dia da Caça,269986,False,42,BaianaSystem,Duas Cidades,0.486,0.867,1,-5.237,1.0,0.0892,0.129,0.00176,0.0731,0.358,109.003,4.0,570.0,afrobeat
8638,Hominids,105573,False,0,Odepth,Elements,0.169,0.0536,9,-25.27,0.0,0.058,0.98,0.854,0.105,0.143,74.997,4.0,125.0,iranian
8639,A Wasteland Fairytale,160000,False,20,Matt Large,A Wasteland Fairytale,0.613,0.59,11,-9.098,1.0,0.11,0.0193,0.884,0.266,0.415,93.064,4.0,245.0,study
8640,Part of a Major Thing,166500,False,16,Matt Large,Part of a Major Thing,0.621,0.481,0,-8.568,1.0,0.03,0.471,0.935,0.125,0.324,79.988,4.0,217.0,study
8641,I'm trying but I can't reach you father,328737,False,6,Sote,Majestic Noise Made in Beautiful Rotten Iran,0.443,0.666,5,-13.252,0.0,0.0516,0.136,0.59,0.0987,0.0701,162.025,4.0,857.0,iranian
8642,Ancient Amulet,274074,False,12,Alphaxone;XERXES THE DARK,Aftermath,0.159,0.0903,2,-27.44,1.0,0.0359,0.841,0.93,0.123,0.0364,59.246,5.0,264.0,iranian
8643,low key jazztone,124429,False,21,Codename Chinadoll,everyday moves with the beats,0.762,0.566,7,-9.964,1.0,0.0543,0.158,0.744,0.0889,0.178,79.99,4.0,164.0,study
8644,Plano de Voo,218880,False,26,Criolo,Convoque Seu Buda,0.571,0.69,8,-8.18,1.0,0.542,0.299,0.0,0.103,0.228,155.991,4.0,559.0,afrobeat
8645,君のパレード,212560,False,36,the shes gone,MORE,0.536,0.836,8,-4.491,1.0,0.0388,0.0225,0.0,0.115,0.664,133.071,4.0,462.0,j-dance
8646,Zeynab,230000,False,1,Saint Abdullah,Zeynab,0.573,0.626,8,-10.637,1.0,0.0525,0.7,0.0,0.143,0.14,79.958,4.0,305.0,iranian
8647,Eine Liebe - Sylaar 2k20 Remix,209552,False,11,Mallorca Allstars;Isi Glück;Ikke Hüftgold;Almklausi;Lorenz Büffel;Carolina;Honk!;Sylaar,Eine Liebe (Sylaar 2k20 Remix),0.592,0.947,11,-3.998,1.0,0.0316,0.000957,0.000324,0.0499,0.495,134.008,4.0,455.0,happy
8648,Lembranças (Ao Vivo),202371,False,35,Maneva,8 Anos (Ao Vivo),0.576,0.498,4,-10.775,1.0,0.0542,0.492,8.86e-06,0.973,0.788,172.187,4.0,579.0,brazil
8649,Dilliwaali Girlfriend,260552,False,67,Pritam;Arijit Singh;Sunidhi Chauhan,Yeh Jawaani Hai Deewani,0.687,0.941,6,-5.23,1.0,0.0583,0.0811,2.93e-06,0.0697,0.909,138.048,4.0,589.0,indian
8650,Turn Up (The Music),289493,False,18,Camo & Krooked,Sick Music 2,0.621,0.773,8,-10.004,1.0,0.0604,0.00116,0.749,0.142,0.387,174.986,4.0,841.0,industrial
8651,Plead My Cause,180967,True,17,Rygin King;Extol Music,Plead My Cause,0.548,0.629,9,-6.415,1.0,0.233,0.0455,0.0,0.164,0.468,124.024,5.0,330.0,j-dance
8652,Real-X,282613,False,20,2 Brothers On The 4th Floor,2,0.576,0.639,10,-14.293,1.0,0.0296,0.00484,0.942,0.138,0.565,137.999,4.0,643.0,happy
8653,Heartquake,201254,False,44,Papon,Karwaan,0.339,0.497,5,-8.904,1.0,0.0494,0.727,2.18e-06,0.103,0.556,149.965,3.0,452.0,indian
8654,I Love You (7 Inch Radio Edit) - Extended Mix,244506,False,0,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0.625,0.895,0,-3.979,1.0,0.0514,0.00281,0.0223,0.105,0.561,159.937,4.0,643.0,happy
8655,Waiting On April... for You,62293,False,0,Leila Bela,Angra Manyu,0.429,0.27,10,-14.574,1.0,0.0955,0.936,0.0109,0.101,0.22,142.66,4.0,143.0,iranian
8656,A Wedding in Cherokee County - 2002 Remaster,189200,False,24,Randy Newman,Good Old Boys,0.446,0.225,6,-15.818,1.0,0.042,0.901,0.000545,0.1,0.168,178.146,3.0,552.0,disney
8657,Vou Seguir com Fé,243159,False,44,Kleber Lucas,Aos Pés da Cruz,0.76,0.911,0,-8.193,1.0,0.0456,0.119,0.0,0.611,0.785,112.163,4.0,453.0,brazil
8658,Geiler Tag zum Tanzen,160900,False,21,Nancy Franck;Kevin Reumann,Geiler Tag zum Tanzen,0.675,0.948,10,-3.06,0.0,0.156,0.0331,0.0,0.952,0.773,140.032,4.0,370.0,happy
8659,スーパーカー,264453,False,21,PASSEPIED,&DNA,0.464,0.845,10,-3.791,1.0,0.0371,0.145,0.0077,0.239,0.662,171.839,4.0,729.0,j-idol
8660,I'll Take You There - Dimitri From Paris Re-Edit,468504,False,22,Frankie Knuckles;Director's Cut;Eric Kupper;Jamie Principle;Dimitri From Paris,I'll Take You There,0.668,0.718,5,-9.677,1.0,0.0308,0.0354,0.334,0.19,0.334,125.001,4.0,964.0,chicago-house
8661,Bumpy Lucas,210750,False,18,Yimino;Ed Roughton,Breaker,0.58,0.41,1,-13.674,1.0,0.0388,0.219,0.957,0.142,0.0497,87.519,4.0,295.0,idm
8662,Ruff in the Jungle Bizness - Uplifting Vibes Remix,257333,False,13,The Prodigy,Out of Space,0.646,0.914,11,-12.035,1.0,0.0471,0.00159,0.681,0.122,0.319,148.066,4.0,621.0,breakbeat
8663,Hell Is Where I Stay,274146,False,21,Hypocrisy,End of Disclosure,0.478,0.902,6,-6.734,1.0,0.0447,1.41e-05,0.878,0.303,0.224,134.98,4.0,606.0,black-metal
8664,Out Of Control - Radio Edit,238306,False,14,The Chemical Brothers,Out Of Control,0.528,0.943,5,-3.594,0.0,0.035,0.00219,0.0236,0.309,0.337,131.99,4.0,518.0,breakbeat
8665,Brilhe,185466,False,48,Roberto Garcia,Moana: um mar de aventuras (Trilha sonora original em português),0.721,0.576,0,-7.044,1.0,0.142,0.408,0.0,0.109,0.613,146.011,4.0,427.0,disney
8666,Second Life,188135,False,0,Saeed Dehghan,BLABBER BRAIN,0.18,0.504,2,-9.646,1.0,0.0416,0.0148,0.881,0.173,0.0379,157.924,4.0,479.0,iranian
8667,We're Going on a Bear Hunt,215975,False,0,The Countdown Kids,Happy Halloween! (Spooky Favorites for Kids),0.817,0.627,9,-6.759,1.0,0.369,0.502,0.0,0.0981,0.452,120.115,4.0,415.0,disney
8668,Ecclesia Diabolica Catholica,289483,False,39,Behemoth,I Loved You at Your Darkest,0.177,0.919,6,-5.193,1.0,0.0886,0.000206,0.0453,0.0776,0.129,140.745,4.0,621.0,black-metal
8669,牆外,256551,False,42,Namewee;小花,牆外,0.73,0.48,9,-6.405,1.0,0.0387,0.853,0.0,0.337,0.623,138.044,4.0,584.0,mandopop
8670,Manngard,203722,False,10,Khold,Svartsyn,0.349,0.886,0,-13.266,1.0,0.0526,3.3e-06,0.0583,0.269,0.0808,145.0,4.0,479.0,black-metal
8671,Mais Amor,165789,False,42,Ponto De Equilíbrio;Tati Portella,Mais Amor,0.714,0.701,2,-4.643,1.0,0.0494,0.503,8.68e-06,0.122,0.6,152.026,4.0,414.0,brazil
8672,You're Toxic,371555,False,58,Deborah de Luca,You're Toxic,0.786,0.908,7,-10.402,1.0,0.057,0.00609,0.867,0.11,0.0543,134.995,4.0,831.0,techno
8673,Saku,345840,False,19,Susumu Yokota,Sakura,0.395,0.156,2,-17.997,1.0,0.0337,0.833,0.893,0.117,0.115,118.257,4.0,674.0,idm
8674,Night of Santur,143026,False,0,Leila Bela,Angra Manyu,0.529,0.631,11,-10.055,1.0,0.0564,0.0416,0.00237,0.447,0.0887,62.204,4.0,146.0,iranian
8675,"I've Got a Dream (from ""Tangled"")",125865,False,16,The Sleep Diaries,Fall Asleep with Walt,0.428,0.00924,4,-30.288,1.0,0.0564,0.993,0.956,0.0923,0.0833,65.867,4.0,132.0,disney
8676,Reversed Reflections,265293,False,19,Hypocrisy,Hypocrisy,0.279,0.853,0,-5.483,1.0,0.0509,4.9e-06,0.00119,0.286,0.287,149.933,4.0,653.0,black-metal
8677,Sin ti seria silencio - Parte II,284093,False,36,Mägo de Oz,La ciudad de los arboles,0.504,0.458,4,-7.66,1.0,0.0261,0.753,0.0,0.251,0.442,83.213,4.0,385.0,spanish
8678,You & Me (feat. W. Darling),244285,False,45,Bassnectar;W. Darling,Noise vs Beauty,0.493,0.744,7,-4.021,1.0,0.0342,0.000748,0.384,0.322,0.151,140.041,4.0,566.0,breakbeat
8679,Funny,221465,False,63,Zedd;Jasmine Thompson,Funny,0.664,0.66,5,-4.646,1.0,0.0243,0.512,0.0,0.26,0.355,99.946,4.0,367.0,chicago-house
8680,Labon Ko,341027,False,71,Pritam;KK,Bhool Bhulaiyaa,0.63,0.837,9,-4.635,0.0,0.0387,0.329,0.00271,0.159,0.473,107.997,4.0,607.0,indian
8681,Like An Animal - Original Mix,270000,False,16,Partyraiser,Like An Animal EP,0.476,0.982,1,-7.12,1.0,0.433,0.0328,0.31,0.156,0.164,180.018,4.0,803.0,happy
8682,Senhor da Terra,275961,False,43,Marquinhos Gomes,Senhor da Terra,0.406,0.764,11,-6.49,1.0,0.0398,0.151,0.0,0.378,0.349,77.546,4.0,347.0,brazil
8683,What the Fuck?,290760,False,24,Promo,Last Men Standing,0.646,0.922,4,-5.459,1.0,0.315,0.45,0.967,0.111,0.191,144.901,4.0,702.0,happy
8684,Bones,295893,False,53,Oliver Koletzki;HVOB,I am OK,0.823,0.534,10,-7.089,1.0,0.0496,0.0239,0.486,0.105,0.0395,125.026,4.0,609.0,techno
8685,Devi Drone,112198,False,56,Phunard,Devi Drone,0.208,0.0187,0,-32.373,0.0,0.0661,0.971,0.879,0.119,0.458,68.983,3.0,128.0,sleep
8686,黑色柳丁,255266,False,47,David Tao,黑色柳丁,0.542,0.572,2,-5.918,1.0,0.0382,0.0719,0.0,0.218,0.212,129.965,4.0,550.0,mandopop
8687,一場遊戲一場夢,255333,False,55,Dave Wong,一場遊戲一場夢,0.561,0.32,10,-11.409,1.0,0.0314,0.802,0.0,0.0701,0.356,139.856,4.0,579.0,mandopop
8688,Voodoo People,387066,False,57,The Prodigy,Music for the Jilted Generation,0.664,0.998,6,-5.86,1.0,0.0642,0.00128,0.466,0.287,0.37,149.002,4.0,952.0,breakbeat
8689,Verdades Do Tempo,259145,False,51,Thiago Brado,Eu Me Rendo,0.175,0.38,4,-9.26,1.0,0.0326,0.0932,0.0,0.0743,0.0898,50.451,4.0,303.0,brazil
8690,Conjure Dreams,441090,False,33,Maceo Plex,Conjure Infinity,0.687,0.744,2,-8.085,1.0,0.0545,0.000189,0.875,0.0924,0.526,124.012,4.0,906.0,techno
8691,"""Why is a raven like a writing desk?""",166000,False,12,arai tasuku,Alice,0.395,0.803,0,-6.743,1.0,0.103,0.000423,0.718,0.113,0.2,179.782,4.0,496.0,idm
8692,Know Bout Me,206480,True,25,Vybz Kartel;Gaza Indu,"Reggae All-Star, Vol. 1",0.657,0.788,5,-4.559,1.0,0.189,0.15,0.0,0.304,0.712,97.046,4.0,331.0,j-dance
8693,Boba Tunnel,247510,False,53,Anupam Roy,Chotushkone,0.598,0.537,9,-8.281,1.0,0.0326,0.285,0.0,0.13,0.397,131.955,4.0,537.0,indian
8694,Quality Seconds,85133,False,16,Orbital,Snivilisation,0.449,0.999,9,-4.976,1.0,0.0743,0.00251,0.648,0.0441,0.777,176.651,4.0,247.0,breakbeat
8695,Cycle Of Many - Mixed,287391,False,7,Ron Trent,What Do the Stars Say to You (François Kevorkian Continuous Mix),0.568,0.625,9,-10.322,1.0,0.034,0.0315,0.829,0.145,0.28,94.971,4.0,450.0,chicago-house
8696,Taradiddle Paradiddle,148129,False,6,Jobii,Intergalactic Sneakers,0.477,0.426,0,-9.553,1.0,0.0472,0.212,0.963,0.0984,0.147,162.276,4.0,399.0,study
8697,Sexta-Feira - Ao Vivo,126199,False,37,Os Barões Da Pisadinha,"Da Roça Pra Cidade (Ao Vivo), Vol. 05",0.659,0.944,9,-3.055,0.0,0.0574,0.433,1.73e-06,0.106,0.917,172.052,4.0,359.0,forro
8698,轉圈圈,249333,False,41,Crispy脆樂團,有多少光就有多少黑,0.644,0.757,4,-4.498,1.0,0.0342,0.0651,0.0,0.2,0.61,110.973,4.0,456.0,mandopop
8699,裹著心的光,273018,False,0,JJ Lin,裹著心的光,0.428,0.498,0,-5.742,1.0,0.0304,0.169,0.0,0.0903,0.314,135.936,4.0,607.0,mandopop
8700,Natural High - Mike Dunn Extended Black Glitter MixX,403550,False,16,Mike Dunn,Defected Presents House Masters: Mike Dunn,0.59,0.797,9,-6.978,0.0,0.0598,3.76e-05,0.812,0.104,0.35,123.805,4.0,818.0,chicago-house
8701,Leise rieselt der Schnee,228120,False,0,Traditional;Rolando Villazón;Sasha;Slovak National Symphony Orchestra;Allan Wilson;James Hayto;Chris Pearson;Darran Muller;Apollo Voices;Graham Foote,Weihnachten Klassik 2022,0.178,0.373,5,-12.15,1.0,0.0396,0.802,0.0204,0.12,0.199,174.692,4.0,644.0,sleep
8702,Human Purge Mission,238972,False,0,Beshenitar,The Great Wound of History,0.422,0.998,11,-2.862,1.0,0.133,0.249,0.00171,0.112,0.0281,129.995,4.0,512.0,iranian
8703,Um Tiro no Coração,302052,False,47,Nando Reis;Pitty,Um Tiro no Coração,0.766,0.776,2,-5.381,1.0,0.0291,0.184,0.0,0.113,0.576,132.098,4.0,643.0,brazil
8704,不說,337733,False,25,Mixer,馬戲團運動,0.343,0.716,6,-4.668,1.0,0.0455,0.0785,0.000314,0.274,0.226,169.997,4.0,918.0,mandopop
8705,Tennessee 1949,205906,False,27,Larry Sparks,Silver Reflections,0.717,0.402,11,-12.128,1.0,0.0394,0.72,0.000131,0.105,0.888,95.509,4.0,324.0,bluegrass
8706,Saveiro,164924,False,50,Os Parazim,O Som do Bbq,0.67,0.933,2,-2.427,0.0,0.0345,0.429,0.0,0.306,0.852,128.019,4.0,345.0,forro
8707,Te Amaré,210160,False,38,Miguel Bosé,Bravo Muchachos/Los Grandes Exitos DE.,0.506,0.351,3,-14.612,1.0,0.0315,0.151,3.15e-06,0.111,0.4,74.701,4.0,256.0,spanish
8708,Reverse Effect,306372,False,19,Jor'dan Armstrong,Blsd (Deluxe),0.704,0.486,0,-7.189,0.0,0.193,0.36,0.0,0.0915,0.415,139.957,4.0,709.0,afrobeat
8709,Amava Porra Nenhuma,163944,True,42,Banda A Loba,Na Hora do Prazer,0.784,0.722,6,-3.86,0.0,0.0319,0.69,1.33e-06,0.0991,0.892,124.005,4.0,335.0,forro
8710,Lindo Pescadito,185360,False,33,Tatiana,¡Brinca!,0.669,0.879,1,-8.784,1.0,0.0693,0.148,0.00761,0.0659,0.895,179.536,4.0,538.0,disney
8711,Smack My Bitch Up,343386,True,66,The Prodigy,The Fat of the Land,0.604,0.995,10,-3.641,1.0,0.164,0.00306,0.626,0.109,0.262,136.216,4.0,773.0,breakbeat
8712,Cold - Radio Edit,235772,False,13,Ralphi Rosario;Donna Blakely,Cold (Remixes),0.736,0.588,3,-8.214,1.0,0.036,0.0104,0.477,0.123,0.522,109.999,4.0,420.0,chicago-house
8713,So Low,194613,False,21,Dope,Group Therapy,0.568,0.977,4,-3.924,1.0,0.0892,0.000622,0.734,0.138,0.412,151.878,4.0,489.0,industrial
8714,Baaraat,222096,False,62,Ritviz;Nucleya,Baaraat,0.678,0.449,4,-9.379,1.0,0.0869,0.477,0.0,0.536,0.606,100.033,4.0,366.0,indian
8715,Finish Him,200594,True,32,Namasenda;Joey LaBeija,Unlimited Ammo: Infinity (Remix),0.545,0.817,9,-6.471,1.0,0.0402,0.0142,0.00979,0.0846,0.523,149.95,4.0,491.0,techno
8716,Paz Interior,331613,False,20,Cascada de Lluvia,"Meditación con la Música de Fondo para el Masaje, Spa & Wellness",0.517,0.116,5,-21.764,0.0,0.0483,0.994,0.929,0.109,0.0999,90.003,4.0,496.0,indian
8717,Bom Bom Pai,308946,False,26,Esther Marcos;Marcelo Markes,Bom Bom Pai,0.549,0.326,11,-9.176,1.0,0.0282,0.693,7.09e-06,0.181,0.339,144.894,4.0,730.0,brazil
8718,"Gangster (Feel So Good) - Tails, Noizer & Drokz Ouwe Gabber Mix",256733,False,27,3 Steps Ahead;Tails;Noizer;Drokz,Thunderdome 25 Years Of Hardcore,0.477,0.98,11,-4.986,0.0,0.206,0.00043,0.0785,0.404,0.268,190.251,4.0,811.0,happy
8719,Emborracharme,212026,False,64,Lori Meyers,Impronta,0.515,0.866,7,-6.818,1.0,0.0486,0.539,0.00136,0.352,0.91,156.013,3.0,531.0,spanish
8720,Ladders,302573,False,0,Ashbury Heights,The Victorian Wallflowers,0.632,0.851,7,-6.173,1.0,0.0753,0.00359,1.14e-05,0.103,0.332,130.029,4.0,643.0,industrial
8721,Exchange,181371,True,27,Vybz Kartel,Exchange,0.721,0.731,5,-6.873,1.0,0.45,0.26,0.0,0.0649,0.813,125.213,5.0,438.0,j-dance
8722,Faggot,163706,True,63,Mindless Self Indulgence,Frankenstein Girls Will Seem Strangely Sexy,0.63,0.76,1,-10.347,1.0,0.115,0.000916,0.000856,0.0766,0.561,152.042,4.0,409.0,industrial
8723,Pyramids,242933,False,4,Comaduster,Darker Matter (Deluxe Edition),0.283,0.4,6,-12.274,0.0,0.0604,0.256,0.816,0.0721,0.0603,134.06,4.0,487.0,idm
8724,Thirty Two,153000,False,0,Farzad Golpayegani,Two,0.376,0.961,9,-3.528,0.0,0.118,0.00448,0.625,0.0873,0.149,163.996,3.0,411.0,iranian
8725,Dheere Se,198000,False,46,The Yellow Diary,Izafa,0.584,0.548,8,-10.19,1.0,0.0361,0.669,0.0036,0.164,0.386,160.002,4.0,516.0,indian
8726,Only Hope Breaks the Dark Waves,176160,False,0,Saba Alizadeh,Only Hope Breaks the Dark Waves,0.138,0.362,8,-17.688,1.0,0.12,0.691,0.91,0.189,0.0525,88.885,3.0,276.0,iranian
8727,Cute Baby - Music Box,183000,False,0,Baby Lullaby,Soft Pillow (lullabies for children and adults),0.499,0.0189,8,-21.995,1.0,0.0525,0.916,0.853,0.0898,0.373,128.368,4.0,381.0,sleep
8728,Haare Haare LoFi,96007,False,47,Silent Ocean,Haare Haare LoFi,0.46,0.65,8,-13.101,1.0,0.317,0.629,0.00852,0.25,0.368,79.904,4.0,123.0,indian
8729,Ballada o Flegmisławie,44360,False,28,Paweł Ciołkosz,Kraina lodu: Przygoda Olafa (Ścieżka dźwiękowa polskiej wersji),0.587,0.359,2,-13.472,1.0,0.0664,0.933,2.01e-06,0.0713,0.536,108.371,3.0,77.0,disney
8730,Second Lives,264706,False,43,Vitalic,Flashmob,0.67,0.69,1,-4.744,1.0,0.0431,0.00163,0.62,0.0864,0.334,129.966,4.0,563.0,techno
8731,Zenzenzense - English Version,279026,False,41,RADWIMPS,Your Name. (Deluxe Edition / Original Motion Picture Soundtrack),0.356,0.888,11,-3.872,1.0,0.114,0.000273,0.0,0.0675,0.642,189.591,4.0,852.0,j-dance
8732,Your Mind - Radio Edit,285857,False,33,Adam Beyer;Bart Skils,Your Mind (Radio Edit),0.66,0.857,11,-7.946,1.0,0.0565,0.00262,0.165,0.215,0.111,126.032,4.0,591.0,techno
8733,Meet La Familia,128345,False,27,Germaine Franco,Encanto (Trilha Sonora Original em Português),0.814,0.32,0,-14.865,1.0,0.0974,0.454,0.841,0.0795,0.254,96.469,4.0,200.0,disney
8734,Flores e Facas,168000,False,27,Murica;BEATDOMK,Flores e Facas,0.635,0.489,2,-7.062,1.0,0.58,0.65,0.0,0.248,0.674,126.724,4.0,345.0,brazil
8735,Joven para morir,202600,False,35,Ángeles Del Infierno,Joven Para Morir,0.614,0.694,2,-12.705,1.0,0.0665,0.00258,0.0,0.0671,0.603,76.838,4.0,255.0,spanish
8736,Steam - Original Mix,443866,False,0,Deekline & Wizard;DJ Fresh,Scream / Steam,0.53,0.99,5,-3.537,0.0,0.102,0.000161,0.0637,0.932,0.849,138.023,4.0,1015.0,breakbeat
8737,A New Error,367306,False,63,Moderat,Moderat,0.717,0.46,11,-11.326,0.0,0.0372,0.0287,0.785,0.0661,0.0961,110.993,4.0,670.0,techno
8738,第一次,263333,False,59,Michael Wong,十光年精選輯,0.601,0.38,0,-8.82,1.0,0.0259,0.576,0.0,0.0858,0.247,104.748,4.0,451.0,mandopop
8739,Piensa Positivo,404999,False,21,Cascada de Lluvia,"Meditación con la Música de Fondo para el Masaje, Spa & Wellness",0.11,0.099,0,-21.924,1.0,0.0416,0.978,0.867,0.106,0.0313,80.683,4.0,519.0,afrobeat
8740,Beat Soup,111374,False,39,Beat Oven,Beat Soup,0.727,0.295,3,-10.21,1.0,0.077,0.402,0.887,0.0991,0.949,80.008,4.0,148.0,study
8741,Saibo - Lofi Flip,146646,False,73,VIBIE,Saibo (Lofi Flip),0.323,0.349,7,-12.524,1.0,0.0761,0.965,0.00548,0.116,0.2,180.203,4.0,393.0,indian
8742,Flattened,220399,True,27,Mushroomhead,Superbuick,0.614,0.681,8,-5.286,0.0,0.041,0.214,0.0114,0.193,0.128,112.2,4.0,411.0,industrial
8743,Bass Rani,146666,False,43,Nucleya,Bass Rani,0.768,0.576,4,-12.326,1.0,0.0755,0.00705,0.000442,0.0735,0.248,108.078,4.0,257.0,indian
8744,Ravin',198120,False,45,Charly Black;Sean Paul;Greeicy,Ravin',0.845,0.676,8,-5.459,1.0,0.133,0.104,1.36e-06,0.129,0.713,104.971,4.0,344.0,j-dance
8745,Mineirinha,200760,False,39,Forrozão Sela Rasgada;Zezinho Aboiador,A Rainha das Vaquejadas,0.566,0.618,0,-13.073,1.0,0.0788,0.683,3.69e-06,0.208,0.763,184.257,4.0,616.0,forro
8746,存在,284466,False,53,Wang Feng,生无所求 (Life Asks For Nothing),0.207,0.631,4,-4.851,1.0,0.045,0.00771,0.0,0.398,0.325,57.024,4.0,482.0,mandopop
8747,freking awesome,98666,False,1,frek!,strawberry fields,0.602,0.338,0,-9.092,1.0,0.0515,0.748,0.0457,0.415,0.548,135.124,3.0,224.0,study
8748,Dinamo,375066,False,0,Droplex,Minimal Storms,0.799,0.741,0,-14.693,1.0,0.109,0.00433,0.907,0.0862,0.266,128.0,4.0,799.0,techno
8749,Cuando Me Vaya (feat. Natalia Jiménez),191560,False,4,Melocos;Natalia Jiménez,Éxitos del Pop en Español de los Años 2000,0.573,0.701,11,-3.0,0.0,0.0463,0.699,0.0,0.202,0.286,143.934,4.0,453.0,spanish
8750,Jiyein Kyun,264962,False,67,Pritam;Papon,Dum Maaro Dum,0.393,0.609,4,-5.954,1.0,0.0415,0.0558,2.22e-06,0.107,0.347,71.377,4.0,308.0,indian
8751,Progenies of the Great Apocalypse,317800,False,50,Dimmu Borgir,Death Cult Armageddon,0.11,0.939,3,-3.975,0.0,0.104,0.000391,0.35,0.145,0.097,88.58,5.0,538.0,black-metal
8752,相依為命,235813,False,58,Jordan Chan,陳小春金碟鐵盒珍藏系列,0.505,0.434,11,-8.439,1.0,0.0361,0.442,0.0,0.126,0.342,133.12,4.0,507.0,mandopop
8753,Midnight Escape Finale,260207,False,14,Kick Puncher,In Search of Darkness (Original Documentary Soundtrack),0.475,0.566,7,-9.999,1.0,0.0491,0.00266,0.878,0.355,0.255,155.98,4.0,657.0,techno
8754,Pull Seven,254769,False,11,D'Arcangelo,D'Arcangelo,0.647,0.687,0,-13.23,1.0,0.0372,0.00501,0.893,0.107,0.482,130.001,4.0,551.0,idm
8755,Dat Hätz Vun Dr Welt - Remake '97,154706,False,26,Höhner,Da Simmer Dabei... Die Grössten Partyhits! (Gold Edition),0.572,0.9,10,-4.371,1.0,0.0347,0.00169,0.0,0.374,0.958,118.405,4.0,299.0,happy
8756,"Gerua (From ""Dilwale"")",345558,False,64,Pritam;Arijit Singh;Antara Mitra,Dilwale (Original Motion Picture Soundtrack),0.371,0.668,11,-7.269,0.0,0.0497,0.636,2e-06,0.294,0.403,87.458,4.0,498.0,indian
8757,El Caterete,254720,False,0,Wganda Kenya,Diablos del Ritmo 1960-1985: The Colombian Melting Pot (Analog Africa No. 12),0.55,0.921,2,-6.961,1.0,0.0496,0.377,2.37e-05,0.312,0.76,117.833,4.0,487.0,afrobeat
8758,Taxi Drive,200470,True,51,Xamã;Bagua Records;CMK;Major RD,O Iluminado,0.634,0.682,8,-6.528,0.0,0.375,0.0554,0.0,0.194,0.632,170.097,3.0,559.0,brazil
